Year,UNIT_MEASURE,Type_of_school,SEX,Value
2011,NUMBER,_T,_T,163284
2012,NUMBER,_T,_T,166662
2013,NUMBER,_T,_T,156350
2014,NUMBER,_T,_T,143881
2015,NUMBER,_T,_T,133228
2016,NUMBER,_T,_T,126824
2017,NUMBER,_T,_T,124148
2018,NUMBER,_T,_T,117475
2019,NUMBER,_T,_T,112796
2020,NUMBER,_T,_T,110404
2021,NUMBER,_T,_T,108257
2022,NUMBER,_T,_T,107936
2011,NUMBER,gymnasium,_T,41081
2012,NUMBER,gymnasium,_T,42225
2013,NUMBER,gymnasium,_T,40065
2014,NUMBER,gymnasium,_T,37132
2015,NUMBER,gymnasium,_T,33321
2016,NUMBER,gymnasium,_T,30615
2017,NUMBER,gymnasium,_T,29591
2018,NUMBER,gymnasium,_T,26731
2019,NUMBER,gymnasium,_T,24817
2020,NUMBER,gymnasium,_T,23867
2021,NUMBER,gymnasium,_T,22685
2022,NUMBER,gymnasium,_T,22100
2023,NUMBER,gymnasium,_T,21605
2011,NUMBER,technical_schools,_T,83704
2012,NUMBER,technical_schools,_T,86539
2013,NUMBER,technical_schools,_T,82743
2014,NUMBER,technical_schools,_T,77388
2015,NUMBER,technical_schools,_T,72109
2016,NUMBER,technical_schools,_T,68743
2017,NUMBER,technical_schools,_T,67895
2018,NUMBER,technical_schools,_T,64706
2019,NUMBER,technical_schools,_T,62846
2020,NUMBER,technical_schools,_T,61811
2021,NUMBER,technical_schools,_T,61489
2022,NUMBER,technical_schools,_T,62342
2023,NUMBER,technical_schools,_T,63332
2011,NUMBER,art_schools,_T,1514
2012,NUMBER,art_schools,_T,1520
2013,NUMBER,art_schools,_T,1445
2014,NUMBER,art_schools,_T,1291
2015,NUMBER,art_schools,_T,1216
2016,NUMBER,art_schools,_T,1203
2017,NUMBER,art_schools,_T,1154
2018,NUMBER,art_schools,_T,1166
2019,NUMBER,art_schools,_T,1139
2020,NUMBER,art_schools,_T,1151
2021,NUMBER,art_schools,_T,1355
2022,NUMBER,art_schools,_T,1334
2023,NUMBER,art_schools,_T,1268
2011,NUMBER,religion_schools,_T,2095
2012,NUMBER,religion_schools,_T,2266
2013,NUMBER,religion_schools,_T,2258
2014,NUMBER,religion_schools,_T,2222
2015,NUMBER,religion_schools,_T,2189
2016,NUMBER,religion_schools,_T,2227
2017,NUMBER,religion_schools,_T,2309
2018,NUMBER,religion_schools,_T,2245
2019,NUMBER,religion_schools,_T,2197
2020,NUMBER,religion_schools,_T,2196
2021,NUMBER,religion_schools,_T,2150
2022,NUMBER,religion_schools,_T,2224
2023,NUMBER,religion_schools,_T,2235
2011,NUMBER,vocational_schools,_T,34479
2012,NUMBER,vocational_schools,_T,33672
2013,NUMBER,vocational_schools,_T,29414
2014,NUMBER,vocational_schools,_T,25463
2015,NUMBER,vocational_schools,_T,23995
2016,NUMBER,vocational_schools,_T,23642
2017,NUMBER,vocational_schools,_T,22819
2018,NUMBER,vocational_schools,_T,22280
2019,NUMBER,vocational_schools,_T,21481
2020,NUMBER,vocational_schools,_T,21054
2021,NUMBER,vocational_schools,_T,20310
2022,NUMBER,vocational_schools,_T,19704
2023,NUMBER,vocational_schools,_T,19054
2011,NUMBER,high_schools_for_children_with_special_needs,_T,411
2012,NUMBER,high_schools_for_children_with_special_needs,_T,440
2013,NUMBER,high_schools_for_children_with_special_needs,_T,425
2014,NUMBER,high_schools_for_children_with_special_needs,_T,385
2015,NUMBER,high_schools_for_children_with_special_needs,_T,398
2016,NUMBER,high_schools_for_children_with_special_needs,_T,394
2017,NUMBER,high_schools_for_children_with_special_needs,_T,380
2018,NUMBER,high_schools_for_children_with_special_needs,_T,347
2019,NUMBER,high_schools_for_children_with_special_needs,_T,316
2020,NUMBER,high_schools_for_children_with_special_needs,_T,325
2021,NUMBER,high_schools_for_children_with_special_needs,_T,268
2022,NUMBER,high_schools_for_children_with_special_needs,_T,232
2023,NUMBER,high_schools_for_children_with_special_needs,_T,246
2011,NUMBER,_T,M,82745
2012,NUMBER,_T,M,84420
2013,NUMBER,_T,M,78882
2014,NUMBER,_T,M,72095
2015,NUMBER,_T,M,66708
2016,NUMBER,_T,M,63232
2017,NUMBER,_T,M,61934
2018,NUMBER,_T,M,58821
2019,NUMBER,_T,M,56328
2020,NUMBER,_T,M,55068
2021,NUMBER,_T,M,53916
2022,NUMBER,_T,M,53454
2011,NUMBER,gymnasium,M,15329
2012,NUMBER,gymnasium,M,15779
