Year,UNIT_MEASURE,type_of_education,SEX,Value
2014,NUMBER,total,_T,301
2014,NUMBER,education,_T,16
2014,NUMBER,arts_and_humanities,_T,16
2014,NUMBER,social_sciences_journalism_and_information,_T,62
2014,NUMBER,business_administration_and_the_law_of_everything,_T,39
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,6
2014,NUMBER,information_and_communication_technologies,_T,7
2014,NUMBER,engineering_manufacturing_and_construction,_T,33
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,14
2014,NUMBER,health_and_social_protection,_T,86
2014,NUMBER,services,_T,7
2014,NUMBER,unknown,_T,15
2014,NUMBER,total,M,185
2014,NUMBER,education,M,10
2014,NUMBER,arts_and_humanities,M,11
2014,NUMBER,social_sciences_journalism_and_information,M,41
2014,NUMBER,business_administration_and_the_law_of_everything,M,28
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,3
2014,NUMBER,information_and_communication_technologies,M,5
2014,NUMBER,engineering_manufacturing_and_construction,M,25
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,10
2014,NUMBER,health_and_social_protection,M,33
2014,NUMBER,services,M,5
2014,NUMBER,unknown,M,14
2014,NUMBER,total,F,116
2014,NUMBER,education,F,6
2014,NUMBER,arts_and_humanities,F,5
2014,NUMBER,social_sciences_journalism_and_information,F,21
2014,NUMBER,business_administration_and_the_law_of_everything,F,11
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,3
2014,NUMBER,information_and_communication_technologies,F,2
2014,NUMBER,engineering_manufacturing_and_construction,F,8
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,4
2014,NUMBER,health_and_social_protection,F,53
2014,NUMBER,services,F,2
2014,NUMBER,unknown,F,1
2015,NUMBER,total,_T,285
2015,NUMBER,education,_T,15
2015,NUMBER,arts_and_humanities,_T,7
2015,NUMBER,social_sciences_journalism_and_information,_T,53
2015,NUMBER,business_administration_and_the_law_of_everything,_T,39
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,17
2015,NUMBER,information_and_communication_technologies,_T,5
2015,NUMBER,engineering_manufacturing_and_construction,_T,49
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,12
2015,NUMBER,health_and_social_protection,_T,80
2015,NUMBER,services,_T,7
2015,NUMBER,unknown,_T,1
2015,NUMBER,total,M,157
2015,NUMBER,education,M,6
2015,NUMBER,arts_and_humanities,M,3
2015,NUMBER,social_sciences_journalism_and_information,M,35
2015,NUMBER,business_administration_and_the_law_of_everything,M,22
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,7
2015,NUMBER,information_and_communication_technologies,M,4
2015,NUMBER,engineering_manufacturing_and_construction,M,36
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,8
2015,NUMBER,health_and_social_protection,M,31
2015,NUMBER,services,M,5
2015,NUMBER,unknown,M,0
2015,NUMBER,total,F,128
2015,NUMBER,education,F,9
2015,NUMBER,arts_and_humanities,F,4
2015,NUMBER,social_sciences_journalism_and_information,F,18
2015,NUMBER,business_administration_and_the_law_of_everything,F,17
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,10
2015,NUMBER,information_and_communication_technologies,F,1
2015,NUMBER,engineering_manufacturing_and_construction,F,13
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,4
2015,NUMBER,health_and_social_protection,F,49
2015,NUMBER,services,F,2
2015,NUMBER,unknown,F,1
2016,NUMBER,total,_T,241
2016,NUMBER,education,_T,10
2016,NUMBER,arts_and_humanities,_T,25
2016,NUMBER,social_sciences_journalism_and_information,_T,41
2016,NUMBER,business_administration_and_the_law_of_everything,_T,38
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,9
2016,NUMBER,information_and_communication_technologies,_T,10
2016,NUMBER,engineering_manufacturing_and_construction,_T,47
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,21
2016,NUMBER,health_and_social_protection,_T,37
2016,NUMBER,services,_T,2
2016,NUMBER,unknown,_T,1
2016,NUMBER,total,M,142
2016,NUMBER,education,M,5
2016,NUMBER,arts_and_humanities,M,12
2016,NUMBER,social_sciences_journalism_and_information,M,22
2016,NUMBER,business_administration_and_the_law_of_everything,M,24
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,4
2016,NUMBER,information_and_communication_technologies,M,6
2016,NUMBER,engineering_manufacturing_and_construction,M,38
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,12
2016,NUMBER,health_and_social_protection,M,17
2016,NUMBER,services,M,1
2016,NUMBER,unknown,M,1
2016,NUMBER,total,F,99
2016,NUMBER,education,F,5
2016,NUMBER,arts_and_humanities,F,13
2016,NUMBER,social_sciences_journalism_and_information,F,19
2016,NUMBER,business_administration_and_the_law_of_everything,F,14
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,5
2016,NUMBER,information_and_communication_technologies,F,4
2016,NUMBER,engineering_manufacturing_and_construction,F,9
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,9
2016,NUMBER,health_and_social_protection,F,20
2016,NUMBER,services,F,1
2016,NUMBER,unknown,F,0
2017,NUMBER,total,_T,285
2017,NUMBER,education,_T,14
2017,NUMBER,arts_and_humanities,_T,34
2017,NUMBER,social_sciences_journalism_and_information,_T,31
2017,NUMBER,business_administration_and_the_law_of_everything,_T,63
2017,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,33
2017,NUMBER,information_and_communication_technologies,_T,8
2017,NUMBER,engineering_manufacturing_and_construction,_T,38
2017,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,10
2017,NUMBER,health_and_social_protection,_T,47
2017,NUMBER,services,_T,4
2017,NUMBER,unknown,_T,3
2017,NUMBER,total,M,152
2017,NUMBER,education,M,5
2017,NUMBER,arts_and_humanities,M,14
2017,NUMBER,social_sciences_journalism_and_information,M,20
2017,NUMBER,business_administration_and_the_law_of_everything,M,36
2017,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,12
2017,NUMBER,information_and_communication_technologies,M,4
2017,NUMBER,engineering_manufacturing_and_construction,M,28
2017,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,8
2017,NUMBER,health_and_social_protection,M,21
2017,NUMBER,services,M,3
2017,NUMBER,unknown,M,1
2017,NUMBER,total,F,133
2017,NUMBER,education,F,9
2017,NUMBER,arts_and_humanities,F,20
2017,NUMBER,social_sciences_journalism_and_information,F,11
2017,NUMBER,business_administration_and_the_law_of_everything,F,27
