Year,UNIT_MEASURE,Врста образовања,Пол,Value
2014,Број,Укупно,Оба пола,791
2014,Број,Образовање,Оба пола,0
2014,Број,Умјетност и хуманистичке науке,Оба пола,21
2014,Број,"Друштвене науке, новинарство и информисање",Оба пола,0
2014,Број,"Пословање, администрација, и право",Оба пола,128
2014,Број,"Природне науке, математика, и статистика",Оба пола,0
2014,Број,Информационе и комуникационе технологије,Оба пола,0
2014,Број,"Инжењерство, производња и грађевинарство",Оба пола,1
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,48
2014,Број,Здравство и социјална заштита,Оба пола,593
2014,Број,Услуге,Оба пола,0
2014,Број,Непознато,Оба пола,0
2015,Број,Укупно,Оба пола,825
2015,Број,Образовање,Оба пола,0
2015,Број,Умјетност и хуманистичке науке,Оба пола,22
2015,Број,"Друштвене науке, новинарство и информисање",Оба пола,0
2015,Број,"Пословање, администрација, и право",Оба пола,120
2015,Број,"Природне науке, математика, и статистика",Оба пола,0
2015,Број,Информационе и комуникационе технологије,Оба пола,0
2015,Број,"Инжењерство, производња и грађевинарство",Оба пола,0
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,0
2015,Број,Здравство и социјална заштита,Оба пола,683
2015,Број,Услуге,Оба пола,0
2015,Број,Непознато,Оба пола,0
2016,Број,Укупно,Оба пола,859
2016,Број,Образовање,Оба пола,0
2016,Број,Умјетност и хуманистичке науке,Оба пола,26
2016,Број,"Друштвене науке, новинарство и информисање",Оба пола,0
2016,Број,"Пословање, администрација, и право",Оба пола,111
2016,Број,"Природне науке, математика, и статистика",Оба пола,0
2016,Број,Информационе и комуникационе технологије,Оба пола,0
2016,Број,"Инжењерство, производња и грађевинарство",Оба пола,1
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,29
2016,Број,Здравство и социјална заштита,Оба пола,692
2016,Број,Услуге,Оба пола,0
2016,Број,Непознато,Оба пола,0
2017,Број,Укупно,Оба пола,874
2017,Број,Образовање,Оба пола,0
2017,Број,Умјетност и хуманистичке науке,Оба пола,34
2017,Број,"Друштвене науке, новинарство и информисање",Оба пола,0
2017,Број,"Пословање, администрација, и право",Оба пола,19
2017,Број,"Природне науке, математика, и статистика",Оба пола,0
2017,Број,Информационе и комуникационе технологије,Оба пола,0
2017,Број,"Инжењерство, производња и грађевинарство",Оба пола,0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,56
2017,Број,Здравство и социјална заштита,Оба пола,765
2017,Број,Услуге,Оба пола,0
2017,Број,Непознато,Оба пола,0
2018,Број,Укупно,Оба пола,826
2018,Број,Образовање,Оба пола,0
2018,Број,Умјетност и хуманистичке науке,Оба пола,25
2018,Број,"Друштвене науке, новинарство и информисање",Оба пола,0
2018,Број,"Пословање, администрација, и право",Оба пола,42
2018,Број,"Природне науке, математика, и статистика",Оба пола,0
2018,Број,Информационе и комуникационе технологије,Оба пола,0
2018,Број,"Инжењерство, производња и грађевинарство",Оба пола,0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,70
2018,Број,Здравство и социјална заштита,Оба пола,689
2018,Број,Услуге,Оба пола,0
2018,Број,Непознато,Оба пола,0
2019,Број,Укупно,Оба пола,1128
2019,Број,Образовање,Оба пола,1
2019,Број,Умјетност и хуманистичке науке,Оба пола,19
2019,Број,"Друштвене науке, новинарство и информисање",Оба пола,0
2019,Број,"Пословање, администрација, и право",Оба пола,62
2019,Број,"Природне науке, математика, и статистика",Оба пола,0
2019,Број,Информационе и комуникационе технологије,Оба пола,4
2019,Број,"Инжењерство, производња и грађевинарство",Оба пола,0
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,59
2019,Број,Здравство и социјална заштита,Оба пола,983
2019,Број,Услуге,Оба пола,0
2019,Број,Непознато,Оба пола,0
2020,Број,Укупно,Оба пола,1003
2020,Број,Образовање,Оба пола,0
2020,Број,Умјетност и хуманистичке науке,Оба пола,42
2020,Број,"Друштвене науке, новинарство и информисање",Оба пола,0
2020,Број,"Пословање, администрација, и право",Оба пола,0
2020,Број,"Природне науке, математика, и статистика",Оба пола,0
2020,Број,Информационе и комуникационе технологије,Оба пола,0
2020,Број,"Инжењерство, производња и грађевинарство",Оба пола,0
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,45
2020,Број,Здравство и социјална заштита,Оба пола,916
2020,Број,Услуге,Оба пола,0
2020,Број,Непознато,Оба пола,0
2014,Број,Укупно,M,247
2014,Број,Образовање,M,0
2014,Број,Умјетност и хуманистичке науке,M,11
2014,Број,"Друштвене науке, новинарство и информисање",M,0
2014,Број,"Пословање, администрација, и право",M,39
2014,Број,"Природне науке, математика, и статистика",M,0
2014,Број,Информационе и комуникационе технологије,M,0
2014,Број,"Инжењерство, производња и грађевинарство",M,1
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,35
2014,Број,Здравство и социјална заштита,M,161
2014,Број,Услуге,M,0
2014,Број,Непознато,M,0
2015,Број,Укупно,M,218
2015,Број,Образовање,M,0
2015,Број,Умјетност и хуманистичке науке,M,10
2015,Број,"Друштвене науке, новинарство и информисање",M,0
