Year,UNIT_MEASURE,type_of_education,SEX,Value
2014,NUMBER,total,_T,11333.0
2014,NUMBER,education,_T,1199.0
2014,NUMBER,arts_and_humanities,_T,1393.0
2014,NUMBER,social_sciences_journalism_and_information,_T,2491.0
2014,NUMBER,business_administration_and_the_law_of_everything,_T,1674.0
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,593.0
2014,NUMBER,information_and_communication_technologies,_T,286.0
2014,NUMBER,engineering_manufacturing_and_construction,_T,1516.0
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,539.0
2014,NUMBER,health_and_social_protection,_T,961.0
2014,NUMBER,services,_T,586.0
2014,NUMBER,unknown,_T,95.0
2014,NUMBER,total,M,4494.0
2014,NUMBER,education,M,313.0
2014,NUMBER,arts_and_humanities,M,470.0
2014,NUMBER,social_sciences_journalism_and_information,M,968.0
2014,NUMBER,business_administration_and_the_law_of_everything,M,625.0
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,175.0
2014,NUMBER,information_and_communication_technologies,M,176.0
2014,NUMBER,engineering_manufacturing_and_construction,M,965.0
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,248.0
2014,NUMBER,health_and_social_protection,M,189.0
2014,NUMBER,services,M,334.0
2014,NUMBER,unknown,M,31.0
2014,NUMBER,total,F,6839.0
2014,NUMBER,education,F,886.0
2014,NUMBER,arts_and_humanities,F,923.0
2014,NUMBER,social_sciences_journalism_and_information,F,1523.0
2014,NUMBER,business_administration_and_the_law_of_everything,F,1049.0
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,418.0
2014,NUMBER,information_and_communication_technologies,F,110.0
2014,NUMBER,engineering_manufacturing_and_construction,F,551.0
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,291.0
2014,NUMBER,health_and_social_protection,F,772.0
2014,NUMBER,services,F,252.0
2014,NUMBER,unknown,F,64.0
2015,NUMBER,total,_T,12062.0
2015,NUMBER,education,_T,910.0
2015,NUMBER,arts_and_humanities,_T,1407.0
2015,NUMBER,social_sciences_journalism_and_information,_T,2674.0
2015,NUMBER,business_administration_and_the_law_of_everything,_T,2158.0
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,659.0
2015,NUMBER,information_and_communication_technologies,_T,332.0
2015,NUMBER,engineering_manufacturing_and_construction,_T,1827.0
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,585.0
2015,NUMBER,health_and_social_protection,_T,905.0
2015,NUMBER,services,_T,574.0
2015,NUMBER,unknown,_T,31.0
2015,NUMBER,total,M,4717.0
2015,NUMBER,education,M,245.0
2015,NUMBER,arts_and_humanities,M,438.0
2015,NUMBER,social_sciences_journalism_and_information,M,1031.0
2015,NUMBER,business_administration_and_the_law_of_everything,M,723.0
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,182.0
2015,NUMBER,information_and_communication_technologies,M,224.0
2015,NUMBER,engineering_manufacturing_and_construction,M,1128.0
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,257.0
2015,NUMBER,health_and_social_protection,M,172.0
2015,NUMBER,services,M,308.0
2015,NUMBER,unknown,M,9.0
2015,NUMBER,total,F,7345.0
2015,NUMBER,education,F,665.0
2015,NUMBER,arts_and_humanities,F,969.0
2015,NUMBER,social_sciences_journalism_and_information,F,1643.0
2015,NUMBER,business_administration_and_the_law_of_everything,F,1435.0
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,477.0
2015,NUMBER,information_and_communication_technologies,F,108.0
2015,NUMBER,engineering_manufacturing_and_construction,F,699.0
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,328.0
2015,NUMBER,health_and_social_protection,F,733.0
2015,NUMBER,services,F,266.0
2015,NUMBER,unknown,F,22.0
2016,NUMBER,total,_T,11604.0
2016,NUMBER,education,_T,900.0
2016,NUMBER,arts_and_humanities,_T,1399.0
2016,NUMBER,social_sciences_journalism_and_information,_T,1839.0
2016,NUMBER,business_administration_and_the_law_of_everything,_T,2676.0
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,724.0
2016,NUMBER,information_and_communication_technologies,_T,510.0
2016,NUMBER,engineering_manufacturing_and_construction,_T,1626.0
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,566.0
2016,NUMBER,health_and_social_protection,_T,859.0
2016,NUMBER,services,_T,454.0
2016,NUMBER,unknown,_T,51.0
2016,NUMBER,total,M,4655.0
2016,NUMBER,education,M,275.0
2016,NUMBER,arts_and_humanities,M,448.0
2016,NUMBER,social_sciences_journalism_and_information,M,704.0
2016,NUMBER,business_administration_and_the_law_of_everything,M,971.0
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,215.0
2016,NUMBER,information_and_communication_technologies,M,351.0
2016,NUMBER,engineering_manufacturing_and_construction,M,978.0
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,267.0
2016,NUMBER,health_and_social_protection,M,204.0
2016,NUMBER,services,M,218.0
2016,NUMBER,unknown,M,24.0
2016,NUMBER,total,F,6949.0
2016,NUMBER,education,F,625.0
2016,NUMBER,arts_and_humanities,F,951.0
2016,NUMBER,social_sciences_journalism_and_information,F,1135.0
2016,NUMBER,business_administration_and_the_law_of_everything,F,1705.0
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,509.0
2016,NUMBER,information_and_communication_technologies,F,159.0
2016,NUMBER,engineering_manufacturing_and_construction,F,648.0
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,299.0
2016,NUMBER,health_and_social_protection,F,655.0
2016,NUMBER,services,F,236.0
2016,NUMBER,unknown,F,27.0
2017,NUMBER,total,_T,11360.0
2017,NUMBER,education,_T,838.0
2017,NUMBER,arts_and_humanities,_T,1336.0
2017,NUMBER,social_sciences_journalism_and_information,_T,1767.0
2017,NUMBER,business_administration_and_the_law_of_everything,_T,2456.0
2017,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,656.0
2017,NUMBER,information_and_communication_technologies,_T,494.0
2017,NUMBER,engineering_manufacturing_and_construction,_T,1763.0
2017,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,595.0
2017,NUMBER,health_and_social_protection,_T,786.0
2017,NUMBER,services,_T,517.0
2017,NUMBER,unknown,_T,152.0
2017,NUMBER,total,M,4471.0
2017,NUMBER,education,M,206.0
2017,NUMBER,arts_and_humanities,M,394.0
2017,NUMBER,social_sciences_journalism_and_information,M,662.0
2017,NUMBER,business_administration_and_the_law_of_everything,M,876.0
2017,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,169.0
2017,NUMBER,information_and_communication_technologies,M,331.0
2017,NUMBER,engineering_manufacturing_and_construction,M,1070.0
2017,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,269.0
2017,NUMBER,health_and_social_protection,M,174.0
2017,NUMBER,services,M,280.0
2017,NUMBER,unknown,M,40.0
2017,NUMBER,total,F,6889.0
2017,NUMBER,education,F,632.0
2017,NUMBER,arts_and_humanities,F,942.0
2017,NUMBER,social_sciences_journalism_and_information,F,1105.0
2017,NUMBER,business_administration_and_the_law_of_everything,F,1580.0
2017,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,487.0
2017,NUMBER,information_and_communication_technologies,F,163.0
2017,NUMBER,engineering_manufacturing_and_construction,F,693.0
2017,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,326.0
2017,NUMBER,health_and_social_protection,F,612.0
2017,NUMBER,services,F,237.0
2017,NUMBER,unknown,F,112.0
2018,NUMBER,total,_T,12083.0
2018,NUMBER,education,_T,1188.0
2018,NUMBER,arts_and_humanities,_T,1348.0
2018,NUMBER,social_sciences_journalism_and_information,_T,1800.0
2018,NUMBER,business_administration_and_the_law_of_everything,_T,2411.0
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,673.0
2018,NUMBER,information_and_communication_technologies,_T,578.0
2018,NUMBER,engineering_manufacturing_and_construction,_T,1879.0
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,694.0
2018,NUMBER,health_and_social_protection,_T,1050.0
2018,NUMBER,services,_T,390.0
2018,NUMBER,unknown,_T,72.0
2018,NUMBER,total,M,4563.0
2018,NUMBER,education,M,286.0
2018,NUMBER,arts_and_humanities,M,393.0
2018,NUMBER,social_sciences_journalism_and_information,M,627.0
2018,NUMBER,business_administration_and_the_law_of_everything,M,864.0
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,176.0
2018,NUMBER,information_and_communication_technologies,M,350.0
2018,NUMBER,engineering_manufacturing_and_construction,M,1100.0
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,303.0
2018,NUMBER,health_and_social_protection,M,231.0
2018,NUMBER,services,M,209.0
2018,NUMBER,unknown,M,24.0
2018,NUMBER,total,F,7520.0
2018,NUMBER,education,F,902.0
2018,NUMBER,arts_and_humanities,F,955.0
2018,NUMBER,social_sciences_journalism_and_information,F,1173.0
2018,NUMBER,business_administration_and_the_law_of_everything,F,1547.0
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,497.0
2018,NUMBER,information_and_communication_technologies,F,228.0
2018,NUMBER,engineering_manufacturing_and_construction,F,779.0
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,391.0
2018,NUMBER,health_and_social_protection,F,819.0
2018,NUMBER,services,F,181.0
2018,NUMBER,unknown,F,48.0
2019,NUMBER,total,_T,12449.0
2019,NUMBER,education,_T,1129.0
2019,NUMBER,arts_and_humanities,_T,1387.0
2019,NUMBER,social_sciences_journalism_and_information,_T,1737.0
2019,NUMBER,business_administration_and_the_law_of_everything,_T,2522.0
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,659.0
2019,NUMBER,information_and_communication_technologies,_T,505.0
2019,NUMBER,engineering_manufacturing_and_construction,_T,1927.0
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,737.0
2019,NUMBER,health_and_social_protection,_T,1158.0
2019,NUMBER,services,_T,603.0
2019,NUMBER,unknown,_T,85.0
2019,NUMBER,total,M,4808.0
2019,NUMBER,education,M,324.0
2019,NUMBER,arts_and_humanities,M,448.0
2019,NUMBER,social_sciences_journalism_and_information,M,629.0
2019,NUMBER,business_administration_and_the_law_of_everything,M,877.0
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,171.0
2019,NUMBER,information_and_communication_technologies,M,314.0
2019,NUMBER,engineering_manufacturing_and_construction,M,1103.0
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,316.0
2019,NUMBER,health_and_social_protection,M,271.0
2019,NUMBER,services,M,328.0
2019,NUMBER,unknown,M,27.0
2019,NUMBER,total,F,7641.0
2019,NUMBER,education,F,805.0
2019,NUMBER,arts_and_humanities,F,939.0
2019,NUMBER,social_sciences_journalism_and_information,F,1108.0
2019,NUMBER,business_administration_and_the_law_of_everything,F,1645.0
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,488.0
2019,NUMBER,information_and_communication_technologies,F,191.0
2019,NUMBER,engineering_manufacturing_and_construction,F,824.0
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,421.0
2019,NUMBER,health_and_social_protection,F,887.0
2019,NUMBER,services,F,275.0
2019,NUMBER,unknown,F,58.0
2020,NUMBER,total,_T,13192.0
2020,NUMBER,education,_T,1268.0
2020,NUMBER,arts_and_humanities,_T,1329.0
2020,NUMBER,social_sciences_journalism_and_information,_T,1932.0
2020,NUMBER,business_administration_and_the_law_of_everything,_T,2514.0
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,686.0
2020,NUMBER,information_and_communication_technologies,_T,582.0
2020,NUMBER,engineering_manufacturing_and_construction,_T,1971.0
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,751.0
2020,NUMBER,health_and_social_protection,_T,1345.0
2020,NUMBER,services,_T,749.0
2020,NUMBER,unknown,_T,65.0
2020,NUMBER,total,M,4945.0
2020,NUMBER,education,M,323.0
2020,NUMBER,arts_and_humanities,M,458.0
2020,NUMBER,social_sciences_journalism_and_information,M,690.0
2020,NUMBER,business_administration_and_the_law_of_everything,M,837.0
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,194.0
2020,NUMBER,information_and_communication_technologies,M,364.0
2020,NUMBER,engineering_manufacturing_and_construction,M,1116.0
