Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2014,Broj,Ukupno,Oba spola,11333.0
2014,Broj,Obrazovanje,Oba spola,1199.0
2014,Broj,Umjetnost i humanističke znanosti,Oba spola,1393.0
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,2491.0
2014,Broj,"Poslovanje, administracija i pravo",Oba spola,1674.0
2014,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,593.0
2014,Broj,Informacijske i komunikacijske tehnologije,Oba spola,286.0
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1516.0
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,539.0
2014,Broj,Zdravstvo i socijalna skrb,Oba spola,961.0
2014,Broj,Usluge,Oba spola,586.0
2014,Broj,Nepoznato,Oba spola,95.0
2014,Broj,Ukupno,M,4494.0
2014,Broj,Obrazovanje,M,313.0
2014,Broj,Umjetnost i humanističke znanosti,M,470.0
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",M,968.0
2014,Broj,"Poslovanje, administracija i pravo",M,625.0
2014,Broj,"Prirodne znanosti, matematika i statistika",M,175.0
2014,Broj,Informacijske i komunikacijske tehnologije,M,176.0
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,965.0
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,248.0
2014,Broj,Zdravstvo i socijalna skrb,M,189.0
2014,Broj,Usluge,M,334.0
2014,Broj,Nepoznato,M,31.0
2014,Broj,Ukupno,Ž,6839.0
2014,Broj,Obrazovanje,Ž,886.0
2014,Broj,Umjetnost i humanističke znanosti,Ž,923.0
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",Ž,1523.0
2014,Broj,"Poslovanje, administracija i pravo",Ž,1049.0
2014,Broj,"Prirodne znanosti, matematika i statistika",Ž,418.0
2014,Broj,Informacijske i komunikacijske tehnologije,Ž,110.0
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,551.0
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,291.0
2014,Broj,Zdravstvo i socijalna skrb,Ž,772.0
2014,Broj,Usluge,Ž,252.0
2014,Broj,Nepoznato,Ž,64.0
2015,Broj,Ukupno,Oba spola,12062.0
2015,Broj,Obrazovanje,Oba spola,910.0
2015,Broj,Umjetnost i humanističke znanosti,Oba spola,1407.0
2015,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,2674.0
2015,Broj,"Poslovanje, administracija i pravo",Oba spola,2158.0
2015,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,659.0
2015,Broj,Informacijske i komunikacijske tehnologije,Oba spola,332.0
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1827.0
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,585.0
2015,Broj,Zdravstvo i socijalna skrb,Oba spola,905.0
2015,Broj,Usluge,Oba spola,574.0
2015,Broj,Nepoznato,Oba spola,31.0
2015,Broj,Ukupno,M,4717.0
2015,Broj,Obrazovanje,M,245.0
2015,Broj,Umjetnost i humanističke znanosti,M,438.0
2015,Broj,"Društvene znanosti, novinarstvo i informiranje",M,1031.0
2015,Broj,"Poslovanje, administracija i pravo",M,723.0
2015,Broj,"Prirodne znanosti, matematika i statistika",M,182.0
2015,Broj,Informacijske i komunikacijske tehnologije,M,224.0
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,1128.0
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,257.0
2015,Broj,Zdravstvo i socijalna skrb,M,172.0
2015,Broj,Usluge,M,308.0
2015,Broj,Nepoznato,M,9.0
2015,Broj,Ukupno,Ž,7345.0
2015,Broj,Obrazovanje,Ž,665.0
2015,Broj,Umjetnost i humanističke znanosti,Ž,969.0
2015,Broj,"Društvene znanosti, novinarstvo i informiranje",Ž,1643.0
2015,Broj,"Poslovanje, administracija i pravo",Ž,1435.0
2015,Broj,"Prirodne znanosti, matematika i statistika",Ž,477.0
2015,Broj,Informacijske i komunikacijske tehnologije,Ž,108.0
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,699.0
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,328.0
2015,Broj,Zdravstvo i socijalna skrb,Ž,733.0
2015,Broj,Usluge,Ž,266.0
2015,Broj,Nepoznato,Ž,22.0
2016,Broj,Ukupno,Oba spola,11604.0
2016,Broj,Obrazovanje,Oba spola,900.0
2016,Broj,Umjetnost i humanističke znanosti,Oba spola,1399.0
2016,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,1839.0
2016,Broj,"Poslovanje, administracija i pravo",Oba spola,2676.0
2016,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,724.0
2016,Broj,Informacijske i komunikacijske tehnologije,Oba spola,510.0
2016,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1626.0
2016,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,566.0
2016,Broj,Zdravstvo i socijalna skrb,Oba spola,859.0
2016,Broj,Usluge,Oba spola,454.0
2016,Broj,Nepoznato,Oba spola,51.0
2016,Broj,Ukupno,M,4655.0
2016,Broj,Obrazovanje,M,275.0
2016,Broj,Umjetnost i humanističke znanosti,M,448.0
2016,Broj,"Društvene znanosti, novinarstvo i informiranje",M,704.0
2016,Broj,"Poslovanje, administracija i pravo",M,971.0
2016,Broj,"Prirodne znanosti, matematika i statistika",M,215.0
2016,Broj,Informacijske i komunikacijske tehnologije,M,351.0
2016,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,978.0
2016,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,267.0
2016,Broj,Zdravstvo i socijalna skrb,M,204.0
2016,Broj,Usluge,M,218.0
2016,Broj,Nepoznato,M,24.0
2016,Broj,Ukupno,Ž,6949.0
2016,Broj,Obrazovanje,Ž,625.0
2016,Broj,Umjetnost i humanističke znanosti,Ž,951.0
2016,Broj,"Društvene znanosti, novinarstvo i informiranje",Ž,1135.0
2016,Broj,"Poslovanje, administracija i pravo",Ž,1705.0
2016,Broj,"Prirodne znanosti, matematika i statistika",Ž,509.0
2016,Broj,Informacijske i komunikacijske tehnologije,Ž,159.0
2016,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,648.0
2016,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,299.0
2016,Broj,Zdravstvo i socijalna skrb,Ž,655.0
2016,Broj,Usluge,Ž,236.0
2016,Broj,Nepoznato,Ž,27.0
2017,Broj,Ukupno,Oba spola,11360.0
2017,Broj,Obrazovanje,Oba spola,838.0
2017,Broj,Umjetnost i humanističke znanosti,Oba spola,1336.0
2017,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,1767.0
2017,Broj,"Poslovanje, administracija i pravo",Oba spola,2456.0
2017,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,656.0
2017,Broj,Informacijske i komunikacijske tehnologije,Oba spola,494.0
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1763.0
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,595.0
2017,Broj,Zdravstvo i socijalna skrb,Oba spola,786.0
2017,Broj,Usluge,Oba spola,517.0
2017,Broj,Nepoznato,Oba spola,152.0
2017,Broj,Ukupno,M,4471.0
2017,Broj,Obrazovanje,M,206.0
2017,Broj,Umjetnost i humanističke znanosti,M,394.0
2017,Broj,"Društvene znanosti, novinarstvo i informiranje",M,662.0
2017,Broj,"Poslovanje, administracija i pravo",M,876.0
2017,Broj,"Prirodne znanosti, matematika i statistika",M,169.0
2017,Broj,Informacijske i komunikacijske tehnologije,M,331.0
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,1070.0
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,269.0
2017,Broj,Zdravstvo i socijalna skrb,M,174.0
2017,Broj,Usluge,M,280.0
2017,Broj,Nepoznato,M,40.0
2017,Broj,Ukupno,Ž,6889.0
2017,Broj,Obrazovanje,Ž,632.0
2017,Broj,Umjetnost i humanističke znanosti,Ž,942.0
2017,Broj,"Društvene znanosti, novinarstvo i informiranje",Ž,1105.0
2017,Broj,"Poslovanje, administracija i pravo",Ž,1580.0
2017,Broj,"Prirodne znanosti, matematika i statistika",Ž,487.0
2017,Broj,Informacijske i komunikacijske tehnologije,Ž,163.0
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,693.0
