Year,Kvartal,UNIT_MEASURE,Spol,Starosna dob,Value
2021,I kvartal,%,Oba spola,15 - 74,19
2021,I kvartal,%,Oba spola,15 - 24,40
2021,I kvartal,%,Oba spola,25 - 49,17
2021,I kvartal,%,Oba spola,50 - 64,15
2021,I kvartal,%,Oba spola,65+,21
2021,I kvartal,%,Oba spola,15 - 64,19
2021,I kvartal,%,Oba spola,20 - 64,19
2021,I kvartal,%,Oba spola,25 - 34,22
2021,I kvartal,%,Oba spola,15 - 74,19
2021,I kvartal,%,Oba spola,65 - 74,21
2021,I kvartal,%,M,15 - 74,16
2021,I kvartal,%,M,15 - 24,36
2021,I kvartal,%,M,25 - 49,13
2021,I kvartal,%,M,50 - 64,13
2021,I kvartal,%,M,65+,18
2021,I kvartal,%,M,15 - 64,16
2021,I kvartal,%,M,20 - 64,15
2021,I kvartal,%,M,25 - 34,17
2021,I kvartal,%,M,15 - 74,16
2021,I kvartal,%,M,65 - 74,18
2021,I kvartal,%,Ž,15 - 74,25
2021,I kvartal,%,Ž,15 - 24,48
2021,I kvartal,%,Ž,25 - 49,23
2021,I kvartal,%,Ž,50 - 64,19
2021,I kvartal,%,Ž,65+,25
2021,I kvartal,%,Ž,15 - 64,25
2021,I kvartal,%,Ž,20 - 64,24
2021,I kvartal,%,Ž,25 - 34,29
2021,I kvartal,%,Ž,15 - 74,25
2021,I kvartal,%,Ž,65 - 74,25
2021,II kvartal,%,Oba spola,15 - 74,18
2021,II kvartal,%,Oba spola,15 - 24,40
2021,II kvartal,%,Oba spola,25 - 49,17
2021,II kvartal,%,Oba spola,50 - 64,13
2021,II kvartal,%,Oba spola,15 - 64,18
2021,II kvartal,%,Oba spola,20 - 64,18
2021,II kvartal,%,Oba spola,25 - 34,22
2021,II kvartal,%,Oba spola,15 - 74,18
2021,II kvartal,%,M,15 - 74,15
2021,II kvartal,%,M,15 - 24,36
2021,II kvartal,%,M,25 - 49,14
2021,II kvartal,%,M,50 - 64,12
2021,II kvartal,%,M,15 - 64,15
2021,II kvartal,%,M,20 - 64,15
2021,II kvartal,%,M,25 - 34,18
2021,II kvartal,%,M,15 - 74,15
2021,II kvartal,%,Ž,15 - 74,23
2021,II kvartal,%,Ž,15 - 24,47
2021,II kvartal,%,Ž,25 - 49,23
2021,II kvartal,%,Ž,50 - 64,13
2021,II kvartal,%,Ž,15 - 64,23
2021,II kvartal,%,Ž,20 - 64,23
2021,II kvartal,%,Ž,25 - 34,28
2021,II kvartal,%,Ž,15 - 74,23
2021,III kvartal,%,Oba spola,15 - 74,16
2021,III kvartal,%,Oba spola,15 - 24,38
2021,III kvartal,%,Oba spola,25 - 49,16
2021,III kvartal,%,Oba spola,50 - 64,11
2021,III kvartal,%,Oba spola,15 - 64,17
2021,III kvartal,%,Oba spola,20 - 64,16
2021,III kvartal,%,Oba spola,25 - 34,19
2021,III kvartal,%,Oba spola,15 - 74,16
2021,III kvartal,%,M,15 - 74,14
2021,III kvartal,%,M,15 - 24,33
2021,III kvartal,%,M,25 - 49,13
2021,III kvartal,%,M,50 - 64,9
2021,III kvartal,%,M,15 - 64,14
2021,III kvartal,%,M,20 - 64,13
2021,III kvartal,%,M,25 - 34,17
2021,III kvartal,%,M,15 - 74,14
2021,III kvartal,%,Ž,15 - 74,21
2021,III kvartal,%,Ž,15 - 24,45
2021,III kvartal,%,Ž,25 - 49,20
2021,III kvartal,%,Ž,50 - 64,14
2021,III kvartal,%,Ž,15 - 64,21
2021,III kvartal,%,Ž,20 - 64,21
2021,III kvartal,%,Ž,25 - 34,22
2021,III kvartal,%,Ž,15 - 74,21
2021,IV kvartal,%,Oba spola,15 - 74,16
2021,IV kvartal,%,Oba spola,15 - 24,35
2021,IV kvartal,%,Oba spola,25 - 49,15
2021,IV kvartal,%,Oba spola,50 - 64,12
2021,IV kvartal,%,Oba spola,15 - 64,16
2021,IV kvartal,%,Oba spola,20 - 64,16
2021,IV kvartal,%,Oba spola,25 - 34,19
2021,IV kvartal,%,Oba spola,15 - 74,16
2021,IV kvartal,%,M,15 - 74,13
2021,IV kvartal,%,M,15 - 24,33
2021,IV kvartal,%,M,25 - 49,12
2021,IV kvartal,%,M,50 - 64,10
2021,IV kvartal,%,M,15 - 64,13
2021,IV kvartal,%,M,20 - 64,13
2021,IV kvartal,%,M,25 - 34,16
2021,IV kvartal,%,M,15 - 74,13
2021,IV kvartal,%,Ž,15 - 74,20
2021,IV kvartal,%,Ž,15 - 24,38
2021,IV kvartal,%,Ž,25 - 49,20
2021,IV kvartal,%,Ž,50 - 64,16
2021,IV kvartal,%,Ž,15 - 64,20
2021,IV kvartal,%,Ž,20 - 64,20
2021,IV kvartal,%,Ž,25 - 34,23
2021,IV kvartal,%,Ž,15 - 74,20
2022,I kvartal,%,Oba spola,15 - 74,17
2022,I kvartal,%,Oba spola,15 - 24,36
2022,I kvartal,%,Oba spola,25 - 49,16
2022,I kvartal,%,Oba spola,50 - 64,13
2022,I kvartal,%,Oba spola,15 - 64,17
2022,I kvartal,%,Oba spola,20 - 64,17
2022,I kvartal,%,Oba spola,25 - 34,21
2022,I kvartal,%,Oba spola,15 - 74,17
2022,I kvartal,%,M,15 - 74,14
2022,I kvartal,%,M,15 - 24,32
2022,I kvartal,%,M,25 - 49,13
