Year,UNIT_MEASURE,Type of education,Sex,Value
2014,Number,Total,Both sexes,11333.0
2014,Number,Education,Both sexes,1199.0
2014,Number,Arts and humanities,Both sexes,1393.0
2014,Number,"Social sciences, journalism and information",Both sexes,2491.0
2014,Number,Business administration and the law,Both sexes,1674.0
2014,Number,"Natural sciences, mathematics and statistics",Both sexes,593.0
2014,Number,Information and communication technologies,Both sexes,286.0
2014,Number,"Engineering, manufacturing and construction",Both sexes,1516.0
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,539.0
2014,Number,Health and social protection,Both sexes,961.0
2014,Number,Services,Both sexes,586.0
2014,Number,Unknown,Both sexes,95.0
2014,Number,Total,M,4494.0
2014,Number,Education,M,313.0
2014,Number,Arts and humanities,M,470.0
2014,Number,"Social sciences, journalism and information",M,968.0
2014,Number,Business administration and the law,M,625.0
2014,Number,"Natural sciences, mathematics and statistics",M,175.0
2014,Number,Information and communication technologies,M,176.0
2014,Number,"Engineering, manufacturing and construction",M,965.0
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,248.0
2014,Number,Health and social protection,M,189.0
2014,Number,Services,M,334.0
2014,Number,Unknown,M,31.0
2014,Number,Total,F,6839.0
2014,Number,Education,F,886.0
2014,Number,Arts and humanities,F,923.0
2014,Number,"Social sciences, journalism and information",F,1523.0
2014,Number,Business administration and the law,F,1049.0
2014,Number,"Natural sciences, mathematics and statistics",F,418.0
2014,Number,Information and communication technologies,F,110.0
2014,Number,"Engineering, manufacturing and construction",F,551.0
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,291.0
2014,Number,Health and social protection,F,772.0
2014,Number,Services,F,252.0
2014,Number,Unknown,F,64.0
2015,Number,Total,Both sexes,12062.0
2015,Number,Education,Both sexes,910.0
2015,Number,Arts and humanities,Both sexes,1407.0
2015,Number,"Social sciences, journalism and information",Both sexes,2674.0
2015,Number,Business administration and the law,Both sexes,2158.0
2015,Number,"Natural sciences, mathematics and statistics",Both sexes,659.0
2015,Number,Information and communication technologies,Both sexes,332.0
2015,Number,"Engineering, manufacturing and construction",Both sexes,1827.0
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,585.0
2015,Number,Health and social protection,Both sexes,905.0
2015,Number,Services,Both sexes,574.0
2015,Number,Unknown,Both sexes,31.0
2015,Number,Total,M,4717.0
2015,Number,Education,M,245.0
2015,Number,Arts and humanities,M,438.0
2015,Number,"Social sciences, journalism and information",M,1031.0
2015,Number,Business administration and the law,M,723.0
2015,Number,"Natural sciences, mathematics and statistics",M,182.0
2015,Number,Information and communication technologies,M,224.0
2015,Number,"Engineering, manufacturing and construction",M,1128.0
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,257.0
2015,Number,Health and social protection,M,172.0
2015,Number,Services,M,308.0
