Year,UNIT_MEASURE,Type of education,Sex,Value
2014,Number,Total,Both sexes,301
2014,Number,Education,Both sexes,16
2014,Number,Arts and humanities,Both sexes,16
2014,Number,"Social sciences, journalism and information",Both sexes,62
2014,Number,Business administration and the law,Both sexes,39
2014,Number,"Natural sciences, mathematics and statistics",Both sexes,6
2014,Number,Information and communication technologies,Both sexes,7
2014,Number,"Engineering, manufacturing and construction",Both sexes,33
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,14
2014,Number,Health and social protection,Both sexes,86
2014,Number,Services,Both sexes,7
2014,Number,Unknown,Both sexes,15
2014,Number,Total,M,185
2014,Number,Education,M,10
2014,Number,Arts and humanities,M,11
2014,Number,"Social sciences, journalism and information",M,41
2014,Number,Business administration and the law,M,28
2014,Number,"Natural sciences, mathematics and statistics",M,3
2014,Number,Information and communication technologies,M,5
2014,Number,"Engineering, manufacturing and construction",M,25
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,10
2014,Number,Health and social protection,M,33
2014,Number,Services,M,5
2014,Number,Unknown,M,14
2014,Number,Total,F,116
2014,Number,Education,F,6
2014,Number,Arts and humanities,F,5
2014,Number,"Social sciences, journalism and information",F,21
2014,Number,Business administration and the law,F,11
2014,Number,"Natural sciences, mathematics and statistics",F,3
2014,Number,Information and communication technologies,F,2
2014,Number,"Engineering, manufacturing and construction",F,8
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,4
2014,Number,Health and social protection,F,53
2014,Number,Services,F,2
2014,Number,Unknown,F,1
2015,Number,Total,Both sexes,285
2015,Number,Education,Both sexes,15
2015,Number,Arts and humanities,Both sexes,7
2015,Number,"Social sciences, journalism and information",Both sexes,53
2015,Number,Business administration and the law,Both sexes,39
2015,Number,"Natural sciences, mathematics and statistics",Both sexes,17
2015,Number,Information and communication technologies,Both sexes,5
2015,Number,"Engineering, manufacturing and construction",Both sexes,49
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,12
2015,Number,Health and social protection,Both sexes,80
2015,Number,Services,Both sexes,7
2015,Number,Unknown,Both sexes,1
2015,Number,Total,M,157
2015,Number,Education,M,6
2015,Number,Arts and humanities,M,3
2015,Number,"Social sciences, journalism and information",M,35
2015,Number,Business administration and the law,M,22
2015,Number,"Natural sciences, mathematics and statistics",M,7
2015,Number,Information and communication technologies,M,4
2015,Number,"Engineering, manufacturing and construction",M,36
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,8
2015,Number,Health and social protection,M,31
2015,Number,Services,M,5
2015,Number,Unknown,M,0
2015,Number,Total,F,128
2015,Number,Education,F,9
2015,Number,Arts and humanities,F,4
2015,Number,"Social sciences, journalism and information",F,18
2015,Number,Business administration and the law,F,17
2015,Number,"Natural sciences, mathematics and statistics",F,10
2015,Number,Information and communication technologies,F,1
2015,Number,"Engineering, manufacturing and construction",F,13
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,4
2015,Number,Health and social protection,F,49
2015,Number,Services,F,2
2015,Number,Unknown,F,1
2016,Number,Total,Both sexes,241
2016,Number,Education,Both sexes,10
2016,Number,Arts and humanities,Both sexes,25
2016,Number,"Social sciences, journalism and information",Both sexes,41
2016,Number,Business administration and the law,Both sexes,38
2016,Number,"Natural sciences, mathematics and statistics",Both sexes,9
2016,Number,Information and communication technologies,Both sexes,10
2016,Number,"Engineering, manufacturing and construction",Both sexes,47
2016,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,21
2016,Number,Health and social protection,Both sexes,37
2016,Number,Services,Both sexes,2
2016,Number,Unknown,Both sexes,1
2016,Number,Total,M,142
2016,Number,Education,M,5
2016,Number,Arts and humanities,M,12
2016,Number,"Social sciences, journalism and information",M,22
2016,Number,Business administration and the law,M,24
2016,Number,"Natural sciences, mathematics and statistics",M,4
2016,Number,Information and communication technologies,M,6
2016,Number,"Engineering, manufacturing and construction",M,38
2016,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,12
2016,Number,Health and social protection,M,17
2016,Number,Services,M,1
2016,Number,Unknown,M,1
2016,Number,Total,F,99
2016,Number,Education,F,5
2016,Number,Arts and humanities,F,13
2016,Number,"Social sciences, journalism and information",F,19
2016,Number,Business administration and the law,F,14
2016,Number,"Natural sciences, mathematics and statistics",F,5
2016,Number,Information and communication technologies,F,4
2016,Number,"Engineering, manufacturing and construction",F,9
2016,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,9
2016,Number,Health and social protection,F,20
2016,Number,Services,F,1
