Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2014,Broj,Ukupno,Oba spola,16131
2014,Broj,Obrazovanje,Oba spola,2003
2014,Broj,Umjetnost i humanističke znanosti,Oba spola,1296
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,2216
2014,Broj,"Poslovanje, administracija i pravo",Oba spola,4865
2014,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,629
2014,Broj,Informacijske i komunikacijske tehnologije,Oba spola,503
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,1554
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,572
2014,Broj,Zdravstvo i socijalna skrb,Oba spola,1712
2014,Broj,Usluge,Oba spola,708
2014,Broj,Nepoznato,Oba spola,73
2014,Broj,Ukupno,M,6554
2014,Broj,Obrazovanje,M,589
2014,Broj,Umjetnost i humanističke znanosti,M,417
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",M,849
2014,Broj,"Poslovanje, administracija i pravo",M,1970
2014,Broj,"Prirodne znanosti, matematika i statistika",M,194
2014,Broj,Informacijske i komunikacijske tehnologije,M,385
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,976
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,254
2014,Broj,Zdravstvo i socijalna skrb,M,403
2014,Broj,Usluge,M,489
2014,Broj,Nepoznato,M,28
2014,Broj,Ukupno,Ž,9577
2014,Broj,Obrazovanje,Ž,1414
2014,Broj,Umjetnost i humanističke znanosti,Ž,879
2014,Broj,"Društvene znanosti, novinarstvo i informiranje",Ž,1367
2014,Broj,"Poslovanje, administracija i pravo",Ž,2895
2014,Broj,"Prirodne znanosti, matematika i statistika",Ž,435
2014,Broj,Informacijske i komunikacijske tehnologije,Ž,118
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,578
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,318
2014,Broj,Zdravstvo i socijalna skrb,Ž,1309
2014,Broj,Usluge,Ž,219
2014,Broj,Nepoznato,Ž,45
2015,Broj,Ukupno,Oba spola,15149
2015,Broj,Obrazovanje,Oba spola,1808
2015,Broj,Umjetnost i humanističke znanosti,Oba spola,1233
2015,Broj,"Društvene znanosti, novinarstvo i informiranje",Oba spola,1421
2015,Broj,"Poslovanje, administracija i pravo",Oba spola,4818
2015,Broj,"Prirodne znanosti, matematika i statistika",Oba spola,701
2015,Broj,Informacijske i komunikacijske tehnologije,Oba spola,726
