Year,UNIT_MEASURE,Врста образовања,Пол,Value
2014,Број,Укупно,Оба пола,301
2014,Број,Образовање,Оба пола,16
2014,Број,Умјетност и хуманистичке науке,Оба пола,16
2014,Број,"Друштвене науке, новинарство и информисање",Оба пола,62
2014,Број,"Пословање, администрација, и право",Оба пола,39
2014,Број,"Природне науке, математика, и статистика",Оба пола,6
2014,Број,Информационе и комуникационе технологије,Оба пола,7
2014,Број,"Инжењерство, производња и грађевинарство",Оба пола,33
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,14
2014,Број,Здравство и социјална заштита,Оба пола,86
2014,Број,Услуге,Оба пола,7
2014,Број,Непознато,Оба пола,15
2014,Број,Укупно,M,185
2014,Број,Образовање,M,10
2014,Број,Умјетност и хуманистичке науке,M,11
2014,Број,"Друштвене науке, новинарство и информисање",M,41
2014,Број,"Пословање, администрација, и право",M,28
2014,Број,"Природне науке, математика, и статистика",M,3
2014,Број,Информационе и комуникационе технологије,M,5
2014,Број,"Инжењерство, производња и грађевинарство",M,25
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,10
2014,Број,Здравство и социјална заштита,M,33
2014,Број,Услуге,M,5
2014,Број,Непознато,M,14
2014,Број,Укупно,Ж,116
2014,Број,Образовање,Ж,6
2014,Број,Умјетност и хуманистичке науке,Ж,5
2014,Број,"Друштвене науке, новинарство и информисање",Ж,21
2014,Број,"Пословање, администрација, и право",Ж,11
2014,Број,"Природне науке, математика, и статистика",Ж,3
2014,Број,Информационе и комуникационе технологије,Ж,2
2014,Број,"Инжењерство, производња и грађевинарство",Ж,8
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,4
2014,Број,Здравство и социјална заштита,Ж,53
2014,Број,Услуге,Ж,2
2014,Број,Непознато,Ж,1
2015,Број,Укупно,Оба пола,285
2015,Број,Образовање,Оба пола,15
2015,Број,Умјетност и хуманистичке науке,Оба пола,7
2015,Број,"Друштвене науке, новинарство и информисање",Оба пола,53
2015,Број,"Пословање, администрација, и право",Оба пола,39
2015,Број,"Природне науке, математика, и статистика",Оба пола,17
2015,Број,Информационе и комуникационе технологије,Оба пола,5
2015,Број,"Инжењерство, производња и грађевинарство",Оба пола,49
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,12
2015,Број,Здравство и социјална заштита,Оба пола,80
2015,Број,Услуге,Оба пола,7
2015,Број,Непознато,Оба пола,1
2015,Број,Укупно,M,157
2015,Број,Образовање,M,6
2015,Број,Умјетност и хуманистичке науке,M,3
2015,Број,"Друштвене науке, новинарство и информисање",M,35
2015,Број,"Пословање, администрација, и право",M,22
2015,Број,"Природне науке, математика, и статистика",M,7
2015,Број,Информационе и комуникационе технологије,M,4
2015,Број,"Инжењерство, производња и грађевинарство",M,36
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,8
2015,Број,Здравство и социјална заштита,M,31
2015,Број,Услуге,M,5
2015,Број,Непознато,M,0
2015,Број,Укупно,Ж,128
2015,Број,Образовање,Ж,9
2015,Број,Умјетност и хуманистичке науке,Ж,4
2015,Број,"Друштвене науке, новинарство и информисање",Ж,18
2015,Број,"Пословање, администрација, и право",Ж,17
2015,Број,"Природне науке, математика, и статистика",Ж,10
2015,Број,Информационе и комуникационе технологије,Ж,1
2015,Број,"Инжењерство, производња и грађевинарство",Ж,13
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,4
2015,Број,Здравство и социјална заштита,Ж,49
2015,Број,Услуге,Ж,2
2015,Број,Непознато,Ж,1
2016,Број,Укупно,Оба пола,241
2016,Број,Образовање,Оба пола,10
2016,Број,Умјетност и хуманистичке науке,Оба пола,25
2016,Број,"Друштвене науке, новинарство и информисање",Оба пола,41
2016,Број,"Пословање, администрација, и право",Оба пола,38
2016,Број,"Природне науке, математика, и статистика",Оба пола,9
2016,Број,Информационе и комуникационе технологије,Оба пола,10
2016,Број,"Инжењерство, производња и грађевинарство",Оба пола,47
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,21
2016,Број,Здравство и социјална заштита,Оба пола,37
2016,Број,Услуге,Оба пола,2
2016,Број,Непознато,Оба пола,1
2016,Број,Укупно,M,142
2016,Број,Образовање,M,5
2016,Број,Умјетност и хуманистичке науке,M,12
2016,Број,"Друштвене науке, новинарство и информисање",M,22
2016,Број,"Пословање, администрација, и право",M,24
2016,Број,"Природне науке, математика, и статистика",M,4
2016,Број,Информационе и комуникационе технологије,M,6
2016,Број,"Инжењерство, производња и грађевинарство",M,38
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,12
2016,Број,Здравство и социјална заштита,M,17
2016,Број,Услуге,M,1
2016,Број,Непознато,M,1
2016,Број,Укупно,Ж,99
2016,Број,Образовање,Ж,5
2016,Број,Умјетност и хуманистичке науке,Ж,13
2016,Број,"Друштвене науке, новинарство и информисање",Ж,19
2016,Број,"Пословање, администрација, и право",Ж,14
2016,Број,"Природне науке, математика, и статистика",Ж,5
2016,Број,Информационе и комуникационе технологије,Ж,4
2016,Број,"Инжењерство, производња и грађевинарство",Ж,9
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,9
2016,Број,Здравство и социјална заштита,Ж,20
2016,Број,Услуге,Ж,1
2016,Број,Непознато,Ж,0
2017,Број,Укупно,Оба пола,285
2017,Број,Образовање,Оба пола,14
2017,Број,Умјетност и хуманистичке науке,Оба пола,34
2017,Број,"Друштвене науке, новинарство и информисање",Оба пола,31
2017,Број,"Пословање, администрација, и право",Оба пола,63
2017,Број,"Природне науке, математика, и статистика",Оба пола,33
