Year,UNIT_MEASURE,Врста образовања,Пол,Value
2014,Број,Укупно,Оба пола,16131
2014,Број,Образовање,Оба пола,2003
2014,Број,Умјетност и хуманистичке науке,Оба пола,1296
2014,Број,"Друштвене науке, новинарство и информисање",Оба пола,2216
2014,Број,"Пословање, администрација, и право",Оба пола,4865
2014,Број,"Природне науке, математика, и статистика",Оба пола,629
2014,Број,Информационе и комуникационе технологије,Оба пола,503
2014,Број,"Инжењерство, производња и грађевинарство",Оба пола,1554
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,572
2014,Број,Здравство и социјална заштита,Оба пола,1712
2014,Број,Услуге,Оба пола,708
2014,Број,Непознато,Оба пола,73
2014,Број,Укупно,M,6554
2014,Број,Образовање,M,589
2014,Број,Умјетност и хуманистичке науке,M,417
2014,Број,"Друштвене науке, новинарство и информисање",M,849
2014,Број,"Пословање, администрација, и право",M,1970
2014,Број,"Природне науке, математика, и статистика",M,194
2014,Број,Информационе и комуникационе технологије,M,385
2014,Број,"Инжењерство, производња и грађевинарство",M,976
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,254
2014,Број,Здравство и социјална заштита,M,403
2014,Број,Услуге,M,489
2014,Број,Непознато,M,28
2014,Број,Укупно,Ж,9577
2014,Број,Образовање,Ж,1414
2014,Број,Умјетност и хуманистичке науке,Ж,879
2014,Број,"Друштвене науке, новинарство и информисање",Ж,1367
2014,Број,"Пословање, администрација, и право",Ж,2895
2014,Број,"Природне науке, математика, и статистика",Ж,435
2014,Број,Информационе и комуникационе технологије,Ж,118
2014,Број,"Инжењерство, производња и грађевинарство",Ж,578
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,318
2014,Број,Здравство и социјална заштита,Ж,1309
2014,Број,Услуге,Ж,219
2014,Број,Непознато,Ж,45
2015,Број,Укупно,Оба пола,15149
2015,Број,Образовање,Оба пола,1808
2015,Број,Умјетност и хуманистичке науке,Оба пола,1233
2015,Број,"Друштвене науке, новинарство и информисање",Оба пола,1421
2015,Број,"Пословање, администрација, и право",Оба пола,4818
2015,Број,"Природне науке, математика, и статистика",Оба пола,701
2015,Број,Информационе и комуникационе технологије,Оба пола,726
2015,Број,"Инжењерство, производња и грађевинарство",Оба пола,1558
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,640
2015,Број,Здравство и социјална заштита,Оба пола,1373
2015,Број,Услуге,Оба пола,804
2015,Број,Непознато,Оба пола,67
2015,Број,Укупно,M,6382
2015,Број,Образовање,M,512
2015,Број,Умјетност и хуманистичке науке,M,394
2015,Број,"Друштвене науке, новинарство и информисање",M,564
2015,Број,"Пословање, администрација, и право",M,1987
2015,Број,"Природне науке, математика, и статистика",M,211
2015,Број,Информационе и комуникационе технологије,M,545
2015,Број,"Инжењерство, производња и грађевинарство",M,954
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,314
2015,Број,Здравство и социјална заштита,M,307
2015,Број,Услуге,M,557
2015,Број,Непознато,M,37
2015,Број,Укупно,Ж,8767
2015,Број,Образовање,Ж,1296
2015,Број,Умјетност и хуманистичке науке,Ж,839
2015,Број,"Друштвене науке, новинарство и информисање",Ж,857
2015,Број,"Пословање, администрација, и право",Ж,2831
2015,Број,"Природне науке, математика, и статистика",Ж,490
2015,Број,Информационе и комуникационе технологије,Ж,181
2015,Број,"Инжењерство, производња и грађевинарство",Ж,604
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,326
2015,Број,Здравство и социјална заштита,Ж,1066
2015,Број,Услуге,Ж,247
2015,Број,Непознато,Ж,30
2016,Број,Укупно,Оба пола,14407
2016,Број,Образовање,Оба пола,1674
2016,Број,Умјетност и хуманистичке науке,Оба пола,1168
2016,Број,"Друштвене науке, новинарство и информисање",Оба пола,1890
2016,Број,"Пословање, администрација, и право",Оба пола,3866
2016,Број,"Природне науке, математика, и статистика",Оба пола,631
2016,Број,Информационе и комуникационе технологије,Оба пола,573
2016,Број,"Инжењерство, производња и грађевинарство",Оба пола,1787
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,589
2016,Број,Здравство и социјална заштита,Оба пола,1295
2016,Број,Услуге,Оба пола,846
2016,Број,Непознато,Оба пола,88
2016,Број,Укупно,M,6062
2016,Број,Образовање,M,499
2016,Број,Умјетност и хуманистичке науке,M,344
2016,Број,"Друштвене науке, новинарство и информисање",M,745
2016,Број,"Пословање, администрација, и право",M,1643
2016,Број,"Природне науке, математика, и статистика",M,191
2016,Број,Информационе и комуникационе технологије,M,435
2016,Број,"Инжењерство, производња и грађевинарство",M,1122
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,276
