Year,UNIT_MEASURE,Type of education,Sex,Value
2014,Number,Total,Both sexes,16131
2014,Number,Education,Both sexes,2003
2014,Number,Arts and humanities,Both sexes,1296
2014,Number,"Social sciences, journalism and information",Both sexes,2216
2014,Number,Business administration and the law,Both sexes,4865
2014,Number,"Natural sciences, mathematics and statistics",Both sexes,629
2014,Number,Information and communication technologies,Both sexes,503
2014,Number,"Engineering, manufacturing and construction",Both sexes,1554
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,572
2014,Number,Health and social protection,Both sexes,1712
2014,Number,Services,Both sexes,708
2014,Number,Unknown,Both sexes,73
2014,Number,Total,M,6554
2014,Number,Education,M,589
2014,Number,Arts and humanities,M,417
2014,Number,"Social sciences, journalism and information",M,849
2014,Number,Business administration and the law,M,1970
2014,Number,"Natural sciences, mathematics and statistics",M,194
2014,Number,Information and communication technologies,M,385
2014,Number,"Engineering, manufacturing and construction",M,976
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,254
2014,Number,Health and social protection,M,403
2014,Number,Services,M,489
2014,Number,Unknown,M,28
2014,Number,Total,F,9577
2014,Number,Education,F,1414
2014,Number,Arts and humanities,F,879
2014,Number,"Social sciences, journalism and information",F,1367
2014,Number,Business administration and the law,F,2895
2014,Number,"Natural sciences, mathematics and statistics",F,435
2014,Number,Information and communication technologies,F,118
2014,Number,"Engineering, manufacturing and construction",F,578
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,318
2014,Number,Health and social protection,F,1309
2014,Number,Services,F,219
2014,Number,Unknown,F,45
2015,Number,Total,Both sexes,15149
2015,Number,Education,Both sexes,1808
2015,Number,Arts and humanities,Both sexes,1233
2015,Number,"Social sciences, journalism and information",Both sexes,1421
2015,Number,Business administration and the law,Both sexes,4818
2015,Number,"Natural sciences, mathematics and statistics",Both sexes,701
2015,Number,Information and communication technologies,Both sexes,726
2015,Number,"Engineering, manufacturing and construction",Both sexes,1558
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,640
2015,Number,Health and social protection,Both sexes,1373
2015,Number,Services,Both sexes,804
2015,Number,Unknown,Both sexes,67
2015,Number,Total,M,6382
2015,Number,Education,M,512
2015,Number,Arts and humanities,M,394
2015,Number,"Social sciences, journalism and information",M,564
2015,Number,Business administration and the law,M,1987
2015,Number,"Natural sciences, mathematics and statistics",M,211
2015,Number,Information and communication technologies,M,545
2015,Number,"Engineering, manufacturing and construction",M,954
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,314
2015,Number,Health and social protection,M,307
2015,Number,Services,M,557
2015,Number,Unknown,M,37
2015,Number,Total,F,8767
2015,Number,Education,F,1296
2015,Number,Arts and humanities,F,839
2015,Number,"Social sciences, journalism and information",F,857
2015,Number,Business administration and the law,F,2831
2015,Number,"Natural sciences, mathematics and statistics",F,490
2015,Number,Information and communication technologies,F,181
2015,Number,"Engineering, manufacturing and construction",F,604
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,326
2015,Number,Health and social protection,F,1066
2015,Number,Services,F,247
2015,Number,Unknown,F,30
2016,Number,Total,Both sexes,14407
2016,Number,Education,Both sexes,1674
2016,Number,Arts and humanities,Both sexes,1168
2016,Number,"Social sciences, journalism and information",Both sexes,1890
2016,Number,Business administration and the law,Both sexes,3866
2016,Number,"Natural sciences, mathematics and statistics",Both sexes,631
2016,Number,Information and communication technologies,Both sexes,573
2016,Number,"Engineering, manufacturing and construction",Both sexes,1787
2016,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,589
2016,Number,Health and social protection,Both sexes,1295
2016,Number,Services,Both sexes,846
2016,Number,Unknown,Both sexes,88
2016,Number,Total,M,6062
2016,Number,Education,M,499
2016,Number,Arts and humanities,M,344
2016,Number,"Social sciences, journalism and information",M,745
2016,Number,Business administration and the law,M,1643
2016,Number,"Natural sciences, mathematics and statistics",M,191
2016,Number,Information and communication technologies,M,435
2016,Number,"Engineering, manufacturing and construction",M,1122
2016,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,276
2016,Number,Health and social protection,M,266
2016,Number,Services,M,511
2016,Number,Unknown,M,30
2016,Number,Total,F,8345
2016,Number,Education,F,1175
2016,Number,Arts and humanities,F,824
2016,Number,"Social sciences, journalism and information",F,1145
2016,Number,Business administration and the law,F,2223
2016,Number,"Natural sciences, mathematics and statistics",F,440
2016,Number,Information and communication technologies,F,138
2016,Number,"Engineering, manufacturing and construction",F,665
2016,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,313
2016,Number,Health and social protection,F,1029
2016,Number,Services,F,335
2016,Number,Unknown,F,58
2017,Number,Total,Both sexes,13709
2017,Number,Education,Both sexes,1658
2017,Number,Arts and humanities,Both sexes,1147
2017,Number,"Social sciences, journalism and information",Both sexes,1463
2017,Number,Business administration and the law,Both sexes,3888
2017,Number,"Natural sciences, mathematics and statistics",Both sexes,608
2017,Number,Information and communication technologies,Both sexes,636
2017,Number,"Engineering, manufacturing and construction",Both sexes,1739
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,539
2017,Number,Health and social protection,Both sexes,1109
2017,Number,Services,Both sexes,819
2017,Number,Unknown,Both sexes,103
2017,Number,Total,M,5845
2017,Number,Education,M,428
2017,Number,Arts and humanities,M,360
2017,Number,"Social sciences, journalism and information",M,608
2017,Number,Business administration and the law,M,1706
2017,Number,"Natural sciences, mathematics and statistics",M,179
2017,Number,Information and communication technologies,M,466
2017,Number,"Engineering, manufacturing and construction",M,1040
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,226
2017,Number,Health and social protection,M,271
2017,Number,Services,M,525
2017,Number,Unknown,M,36
2017,Number,Total,F,7864
2017,Number,Education,F,1230
2017,Number,Arts and humanities,F,787
2017,Number,"Social sciences, journalism and information",F,855
2017,Number,Business administration and the law,F,2182
2017,Number,"Natural sciences, mathematics and statistics",F,429
2017,Number,Information and communication technologies,F,170
2017,Number,"Engineering, manufacturing and construction",F,699
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,313
2017,Number,Health and social protection,F,838
2017,Number,Services,F,294
2017,Number,Unknown,F,67
2018,Number,Total,Both sexes,13394
2018,Number,Education,Both sexes,1629
2018,Number,Arts and humanities,Both sexes,1104
2018,Number,"Social sciences, journalism and information",Both sexes,1279
2018,Number,Business administration and the law,Both sexes,3286
2018,Number,"Natural sciences, mathematics and statistics",Both sexes,604
2018,Number,Information and communication technologies,Both sexes,731
2018,Number,"Engineering, manufacturing and construction",Both sexes,1999
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,585
2018,Number,Health and social protection,Both sexes,1352
2018,Number,Services,Both sexes,740
2018,Number,Unknown,Both sexes,85
2018,Number,Total,M,5571
2018,Number,Education,M,384
2018,Number,Arts and humanities,M,327
2018,Number,"Social sciences, journalism and information",M,507
2018,Number,Business administration and the law,M,1336
2018,Number,"Natural sciences, mathematics and statistics",M,174
2018,Number,Information and communication technologies,M,486
2018,Number,"Engineering, manufacturing and construction",M,1250
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,286
2018,Number,Health and social protection,M,314
2018,Number,Services,M,468
2018,Number,Unknown,M,39
2018,Number,Total,F,7823
2018,Number,Education,F,1245
2018,Number,Arts and humanities,F,777
2018,Number,"Social sciences, journalism and information",F,772
2018,Number,Business administration and the law,F,1950
2018,Number,"Natural sciences, mathematics and statistics",F,430
2018,Number,Information and communication technologies,F,245
2018,Number,"Engineering, manufacturing and construction",F,749
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,299
2018,Number,Health and social protection,F,1038
2018,Number,Services,F,272
2018,Number,Unknown,F,46
2019,Number,Total,Both sexes,13053
2019,Number,Education,Both sexes,1452
2019,Number,Arts and humanities,Both sexes,1018
2019,Number,"Social sciences, journalism and information",Both sexes,1075
2019,Number,Business administration and the law,Both sexes,3174
2019,Number,"Natural sciences, mathematics and statistics",Both sexes,625
2019,Number,Information and communication technologies,Both sexes,674
2019,Number,"Engineering, manufacturing and construction",Both sexes,1896
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,616
2019,Number,Health and social protection,Both sexes,1466
2019,Number,Services,Both sexes,1044
2019,Number,Unknown,Both sexes,13
2019,Number,Total,M,5302
2019,Number,Education,M,361
2019,Number,Arts and humanities,M,356
2019,Number,"Social sciences, journalism and information",M,397
2019,Number,Business administration and the law,M,1255
2019,Number,"Natural sciences, mathematics and statistics",M,158
2019,Number,Information and communication technologies,M,481
2019,Number,"Engineering, manufacturing and construction",M,1104
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,235
2019,Number,Health and social protection,M,332
2019,Number,Services,M,610
2019,Number,Unknown,M,13
2019,Number,Total,F,7751
2019,Number,Education,F,1091
2019,Number,Arts and humanities,F,662
2019,Number,"Social sciences, journalism and information",F,678
2019,Number,Business administration and the law,F,1919
2019,Number,"Natural sciences, mathematics and statistics",F,467
2019,Number,Information and communication technologies,F,193
2019,Number,"Engineering, manufacturing and construction",F,792
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,381
2019,Number,Health and social protection,F,1134
2019,Number,Services,F,434
2019,Number,Unknown,F,0
2020,Number,Total,Both sexes,12288
2020,Number,Education,Both sexes,1285
2020,Number,Arts and humanities,Both sexes,990
2020,Number,"Social sciences, journalism and information",Both sexes,2247
2020,Number,Business administration and the law,Both sexes,1829
2020,Number,"Natural sciences, mathematics and statistics",Both sexes,485
2020,Number,Information and communication technologies,Both sexes,747
2020,Number,"Engineering, manufacturing and construction",Both sexes,1860
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,612
2020,Number,Health and social protection,Both sexes,1330
2020,Number,Services,Both sexes,887
2020,Number,Unknown,Both sexes,16
2020,Number,Total,M,4977
2020,Number,Education,M,269
2020,Number,Arts and humanities,M,339
2020,Number,"Social sciences, journalism and information",M,899
2020,Number,Business administration and the law,M,738
2020,Number,"Natural sciences, mathematics and statistics",M,122
2020,Number,Information and communication technologies,M,500
2020,Number,"Engineering, manufacturing and construction",M,1067
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,251
2020,Number,Health and social protection,M,268
2020,Number,Services,M,514
2020,Number,Unknown,M,10
2020,Number,Total,F,7311
2020,Number,Education,F,1016
2020,Number,Arts and humanities,F,651
2020,Number,"Social sciences, journalism and information",F,1363
2020,Number,Business administration and the law,F,1091
2020,Number,"Natural sciences, mathematics and statistics",F,363
2020,Number,Information and communication technologies,F,247
2020,Number,"Engineering, manufacturing and construction",F,778
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,361
2020,Number,Health and social protection,F,1062
2020,Number,Services,F,373
2020,Number,Unknown,F,6
