Year,UNIT_MEASURE,Value
1996,number_death_rate,6.3
1997,number_death_rate,6.9
1998,number_death_rate,7.3
1999,number_death_rate,7.1
2000,number_death_rate,7.4
2001,number_death_rate,7.3
2002,number_death_rate,7.4
2003,number_death_rate,7.9
2004,number_death_rate,7.9
2005,number_death_rate,8.3
2006,number_death_rate,8.0
2007,number_death_rate,8.7
2008,number_death_rate,8.3
2009,number_death_rate,8.3
2010,number_death_rate,8.6
2011,number_death_rate,8.8
2012,number_death_rate,8.7
2013,number_death_rate,8.9
2014,number_death_rate,8.7
2015,number_death_rate,9.8
2016,number_death_rate,9.6
2017,number_death_rate,9.9
2018,number_death_rate,9.8
2019,number_death_rate,10.1
