Year,UNIT_MEASURE,Value
1996,no_per_1000_marriages,25.7
1997,no_per_1000_marriages,68.4
1998,no_per_1000_marriages,77.9
1999,no_per_1000_marriages,84.1
2000,no_per_1000_marriages,84.9
2001,no_per_1000_marriages,100.8
2002,no_per_1000_marriages,110.5
2003,no_per_1000_marriages,89.6
2004,no_per_1000_marriages,62.6
2005,no_per_1000_marriages,70.9
2006,no_per_1000_marriages,71.7
2007,no_per_1000_marriages,69.6
2008,no_per_1000_marriages,62.9
2009,no_per_1000_marriages,58.9
2010,no_per_1000_marriages,76.5
2011,no_per_1000_marriages,97.0
2012,no_per_1000_marriages,97.5
2013,no_per_1000_marriages,119.8
2014,no_per_1000_marriages,110.2
2015,no_per_1000_marriages,115.8
2016,no_per_1000_marriages,113.0
2017,no_per_1000_marriages,132.8
2018,no_per_1000_marriages,139.6
2019,no_per_1000_marriages,136.4
