Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,SEX,Value
1971,%,total_support_ratio,_T,65.4
1971,%,total_support_ratio,M,67.9
1971,%,total_support_ratio,F,63.0
1981,%,total_support_ratio,_T,51.1
1981,%,total_support_ratio,M,50.8
1981,%,total_support_ratio,F,51.4
1991,%,total_support_ratio,_T,47.7
1991,%,total_support_ratio,M,45.6
1991,%,total_support_ratio,F,50.0
2013,%,total_support_ratio,_T,42.1
2013,%,total_support_ratio,M,39.2
2013,%,total_support_ratio,F,44.9
1971,%,young_age_support_ratio,_T,57.0
1971,%,young_age_support_ratio,M,60.2
1971,%,young_age_support_ratio,F,53.9
1981,%,young_age_support_ratio,_T,41.5
1981,%,young_age_support_ratio,M,42.7
1981,%,young_age_support_ratio,F,40.4
1991,%,young_age_support_ratio,_T,34.7
1991,%,young_age_support_ratio,M,35.1
1991,%,young_age_support_ratio,F,34.3
2013,%,young_age_support_ratio,_T,21.9
2013,%,young_age_support_ratio,M,22.4
2013,%,young_age_support_ratio,F,21.3
1971,%,old_age_support_ratio,_T,8.4
1971,%,old_age_support_ratio,M,7.7
1971,%,old_age_support_ratio,F,9.1
1981,%,old_age_support_ratio,_T,9.5
1981,%,old_age_support_ratio,M,8.1
1981,%,old_age_support_ratio,F,10.9
1991,%,old_age_support_ratio,_T,13.1
1991,%,old_age_support_ratio,M,10.5
1991,%,old_age_support_ratio,F,15.7
2013,%,old_age_support_ratio,_T,20.2
2013,%,old_age_support_ratio,M,16.8
2013,%,old_age_support_ratio,F,23.6
