Year,UNIT_MEASURE,type_of_institution,Value
2011,NUMBER,_T,1
2012,NUMBER,_T,1
2013,NUMBER,_T,1
2014,NUMBER,_T,1
2015,NUMBER,_T,1
2016,NUMBER,_T,1
2017,NUMBER,_T,1
2018,NUMBER,_T,1
2019,NUMBER,_T,1
2020,NUMBER,_T,1
2011,NUMBER,public,1
2012,NUMBER,public,1
2013,NUMBER,public,1
2014,NUMBER,public,1
2015,NUMBER,public,1
2016,NUMBER,public,1
2017,NUMBER,public,1
2018,NUMBER,public,1
2019,NUMBER,public,1
2020,NUMBER,public,1
2011,NUMBER,private,1
2012,NUMBER,private,1
2013,NUMBER,private,1
2014,NUMBER,private,1
2015,NUMBER,private,1
2016,NUMBER,private,1
2017,NUMBER,private,1
2018,NUMBER,private,1
2019,NUMBER,private,1
2020,NUMBER,private,1
