Year,UNIT_MEASURE,SEX,Value
2011,NUMBER,_T,1238
2012,NUMBER,_T,1301
2013,NUMBER,_T,1388
2014,NUMBER,_T,1515
2015,NUMBER,_T,1667
2016,NUMBER,_T,1793
2017,NUMBER,_T,1898
2018,NUMBER,_T,2131
2019,NUMBER,_T,2384
2020,NUMBER,_T,2519
2021,NUMBER,_T,2889
2011,NUMBER,M,22
2012,NUMBER,M,17
2013,NUMBER,M,22
2014,NUMBER,M,23
2015,NUMBER,M,22
2016,NUMBER,M,24
2017,NUMBER,M,28
2018,NUMBER,M,29
2019,NUMBER,M,31
2020,NUMBER,M,27
2021,NUMBER,M,48
2011,NUMBER,F,1216
2012,NUMBER,F,1284
2013,NUMBER,F,1366
2014,NUMBER,F,1492
2015,NUMBER,F,1645
2016,NUMBER,F,1769
2017,NUMBER,F,1870
2018,NUMBER,F,2102
2019,NUMBER,F,2353
2020,NUMBER,F,2492
2021,NUMBER,F,2841
