Year,UNIT_MEASURE,type_of_education,SEX,Value
2018,NUMBER,total,_T,12083
2018,NUMBER,education,_T,1188
2018,NUMBER,arts_and_humanities,_T,1348
2018,NUMBER,social_sciences_journalism_and_information,_T,1800
2018,NUMBER,business_administration_and_the_law_of_everything,_T,2411
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,673
2018,NUMBER,information and communication technologies,_T,578
2018,NUMBER,engineering_manufacturing_and_construction,_T,1879
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,694
2018,NUMBER,health_and_social_protection,_T,1050
2018,NUMBER,services,_T,390
2018,NUMBER,unknown,_T,72
2018,NUMBER,total,M,4563
2018,NUMBER,education,M,286
2018,NUMBER,arts_and_humanities,M,393
2018,NUMBER,social_sciences_journalism_and_information,M,627
2018,NUMBER,business_administration_and_the_law_of_everything,M,864
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,176
2018,NUMBER,information and communication technologies,M,350
2018,NUMBER,engineering_manufacturing_and_construction,M,1100
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,303
2018,NUMBER,health_and_social_protection,M,231
2018,NUMBER,services,M,209
2018,NUMBER,unknown,M,24
2018,NUMBER,total,F,7520
2018,NUMBER,education,F,902
2018,NUMBER,arts_and_humanities,F,955
2018,NUMBER,social_sciences_journalism_and_information,F,1173
2018,NUMBER,business_administration_and_the_law_of_everything,F,1547
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,497
2018,NUMBER,information and communication technologies,F,228
2018,NUMBER,engineering_manufacturing_and_construction,F,779
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,391
2018,NUMBER,health_and_social_protection,F,819
2018,NUMBER,services,F,181
2018,NUMBER,unknown,F,48
2019,NUMBER,total,_T,12449
2019,NUMBER,education,_T,1129
2019,NUMBER,arts_and_humanities,_T,1387
2019,NUMBER,social_sciences_journalism_and_information,_T,1737
2019,NUMBER,business_administration_and_the_law_of_everything,_T,2522
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,659
2019,NUMBER,information and communication technologies,_T,505
2019,NUMBER,engineering_manufacturing_and_construction,_T,1927
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,737
2019,NUMBER,health_and_social_protection,_T,1158
2019,NUMBER,services,_T,603
2019,NUMBER,unknown,_T,85
2019,NUMBER,total,M,4808
2019,NUMBER,education,M,324
2019,NUMBER,arts_and_humanities,M,448
2019,NUMBER,social_sciences_journalism_and_information,M,629
2019,NUMBER,business_administration_and_the_law_of_everything,M,877
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,171
2019,NUMBER,information and communication technologies,M,314
2019,NUMBER,engineering_manufacturing_and_construction,M,1103
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,316
2019,NUMBER,health_and_social_protection,M,271
2019,NUMBER,services,M,328
2019,NUMBER,unknown,M,27
2019,NUMBER,total,F,7641
2019,NUMBER,education,F,805
2019,NUMBER,arts_and_humanities,F,939
2019,NUMBER,social_sciences_journalism_and_information,F,1108
2019,NUMBER,business_administration_and_the_law_of_everything,F,1645
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,488
2019,NUMBER,information and communication technologies,F,191
2019,NUMBER,engineering_manufacturing_and_construction,F,824
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,421
2019,NUMBER,health_and_social_protection,F,887
2019,NUMBER,services,F,275
2019,NUMBER,unknown,F,58
2020,NUMBER,total,_T,13192
2020,NUMBER,education,_T,1268
2020,NUMBER,arts_and_humanities,_T,1329
2020,NUMBER,social_sciences_journalism_and_information,_T,1932
2020,NUMBER,business_administration_and_the_law_of_everything,_T,2514
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,686
2020,NUMBER,information and communication technologies,_T,582
2020,NUMBER,engineering_manufacturing_and_construction,_T,1971
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,751
2020,NUMBER,health_and_social_protection,_T,1345
2020,NUMBER,services,_T,749
2020,NUMBER,unknown,_T,65
2020,NUMBER,total,M,4945
2020,NUMBER,education,M,323
2020,NUMBER,arts_and_humanities,M,458
2020,NUMBER,social_sciences_journalism_and_information,M,690
2020,NUMBER,business_administration_and_the_law_of_everything,M,837
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,194
2020,NUMBER,information and communication technologies,M,364
2020,NUMBER,engineering_manufacturing_and_construction,M,1116
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,325
2020,NUMBER,health_and_social_protection,M,244
2020,NUMBER,services,M,372
2020,NUMBER,unknown,M,22
2020,NUMBER,total,F,8247
2020,NUMBER,education,F,945
2020,NUMBER,arts_and_humanities,F,871
2020,NUMBER,social_sciences_journalism_and_information,F,1242
2020,NUMBER,business_administration_and_the_law_of_everything,F,1677
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,492
2020,NUMBER,information and communication technologies,F,218
2020,NUMBER,engineering_manufacturing_and_construction,F,855
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,426
2020,NUMBER,health_and_social_protection,F,1101
2020,NUMBER,services,F,377
2020,NUMBER,unknown,F,43
