Year,UNIT_MEASURE,type_of_education,SEX,Value
2014,NUMBER,total,_T,11333
2014,NUMBER,education,_T,1199
2014,NUMBER,arts_and_humanities,_T,1393
2014,NUMBER,social_sciences_journalism_and_information,_T,2491
2014,NUMBER,business_administration_and_the_law_of_everything,_T,1674
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,593
2014,NUMBER,information_and_communication_technologies,_T,286
2014,NUMBER,engineering_manufacturing_and_construction,_T,1516
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,539
2014,NUMBER,health_and_social_protection,_T,961
2014,NUMBER,services,_T,586
2014,NUMBER,unknown,_T,95
2014,NUMBER,total,M,4494
2014,NUMBER,education,M,313
2014,NUMBER,arts_and_humanities,M,470
2014,NUMBER,social_sciences_journalism_and_information,M,968
2014,NUMBER,business_administration_and_the_law_of_everything,M,625
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,175
2014,NUMBER,information_and_communication_technologies,M,176
2014,NUMBER,engineering_manufacturing_and_construction,M,965
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,248
2014,NUMBER,health_and_social_protection,M,189
2014,NUMBER,services,M,334
2014,NUMBER,unknown,M,31
2014,NUMBER,total,F,6839
2014,NUMBER,education,F,886
2014,NUMBER,arts_and_humanities,F,923
2014,NUMBER,social_sciences_journalism_and_information,F,1523
2014,NUMBER,business_administration_and_the_law_of_everything,F,1049
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,418
2014,NUMBER,information_and_communication_technologies,F,110
2014,NUMBER,engineering_manufacturing_and_construction,F,551
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,291
2014,NUMBER,health_and_social_protection,F,772
2014,NUMBER,services,F,252
2014,NUMBER,unknown,F,64
2015,NUMBER,total,_T,12062
2015,NUMBER,education,_T,910
2015,NUMBER,arts_and_humanities,_T,1407
2015,NUMBER,social_sciences_journalism_and_information,_T,2674
2015,NUMBER,business_administration_and_the_law_of_everything,_T,2158
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,659
2015,NUMBER,information_and_communication_technologies,_T,332
2015,NUMBER,engineering_manufacturing_and_construction,_T,1827
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,585
2015,NUMBER,health_and_social_protection,_T,905
2015,NUMBER,services,_T,574
2015,NUMBER,unknown,_T,31
2015,NUMBER,total,M,4717
2015,NUMBER,education,M,245
