Year,UNIT_MEASURE,type_of_education,SEX,Value
2014,NUMBER,total,_T,3366
2014,NUMBER,education,_T,432
2014,NUMBER,arts_and_humanities,_T,296
2014,NUMBER,social_sciences_journalism_and_information,_T,635
2014,NUMBER,business_administration_and_the_law_of_everything,_T,538
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,132
2014,NUMBER,information_and_communication_technologies,_T,126
2014,NUMBER,engineering_manufacturing_and_construction,_T,505
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,205
2014,NUMBER,health_and_social_protection,_T,337
2014,NUMBER,services,_T,114
2014,NUMBER,unknown,_T,46
2014,NUMBER,total,M,1330
2014,NUMBER,education,M,125
2014,NUMBER,arts_and_humanities,M,73
2014,NUMBER,social_sciences_journalism_and_information,M,261
2014,NUMBER,business_administration_and_the_law_of_everything,M,200
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,58
2014,NUMBER,information_and_communication_technologies,M,72
2014,NUMBER,engineering_manufacturing_and_construction,M,289
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,85
2014,NUMBER,health_and_social_protection,M,83
2014,NUMBER,services,M,71
2014,NUMBER,unknown,M,13
2014,NUMBER,total,F,2036
2014,NUMBER,education,F,307
2014,NUMBER,arts_and_humanities,F,223
2014,NUMBER,social_sciences_journalism_and_information,F,374
2014,NUMBER,business_administration_and_the_law_of_everything,F,338
2014,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,74
2014,NUMBER,information_and_communication_technologies,F,54
2014,NUMBER,engineering_manufacturing_and_construction,F,216
2014,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,120
2014,NUMBER,health_and_social_protection,F,254
2014,NUMBER,services,F,43
2014,NUMBER,unknown,F,33
2015,NUMBER,total,_T,3636
2015,NUMBER,education,_T,388
2015,NUMBER,arts_and_humanities,_T,338
2015,NUMBER,social_sciences_journalism_and_information,_T,397
2015,NUMBER,business_administration_and_the_law_of_everything,_T,658
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,294
2015,NUMBER,information_and_communication_technologies,_T,99
2015,NUMBER,engineering_manufacturing_and_construction,_T,572
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,212
2015,NUMBER,health_and_social_protection,_T,422
2015,NUMBER,services,_T,189
2015,NUMBER,unknown,_T,67
2015,NUMBER,total,M,1468
2015,NUMBER,education,M,88
2015,NUMBER,arts_and_humanities,M,102
2015,NUMBER,social_sciences_journalism_and_information,M,172
2015,NUMBER,business_administration_and_the_law_of_everything,M,244
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,83
2015,NUMBER,information_and_communication_technologies,M,67
2015,NUMBER,engineering_manufacturing_and_construction,M,357
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,95
2015,NUMBER,health_and_social_protection,M,105
2015,NUMBER,services,M,113
2015,NUMBER,unknown,M,42
2015,NUMBER,total,F,2168
2015,NUMBER,education,F,300
2015,NUMBER,arts_and_humanities,F,236
2015,NUMBER,social_sciences_journalism_and_information,F,225
2015,NUMBER,business_administration_and_the_law_of_everything,F,414
2015,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,211
2015,NUMBER,information_and_communication_technologies,F,32
2015,NUMBER,engineering_manufacturing_and_construction,F,215
2015,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,117
2015,NUMBER,health_and_social_protection,F,317
2015,NUMBER,services,F,76
2015,NUMBER,unknown,F,25
2016,NUMBER,total,_T,3836
2016,NUMBER,education,_T,391
2016,NUMBER,arts_and_humanities,_T,342
2016,NUMBER,social_sciences_journalism_and_information,_T,706
2016,NUMBER,business_administration_and_the_law_of_everything,_T,747
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,200
2016,NUMBER,information_and_communication_technologies,_T,127
2016,NUMBER,engineering_manufacturing_and_construction,_T,544
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,210
2016,NUMBER,health_and_social_protection,_T,326
2016,NUMBER,services,_T,213
2016,NUMBER,unknown,_T,30
2016,NUMBER,total,M,1497
2016,NUMBER,education,M,115
2016,NUMBER,arts_and_humanities,M,98
2016,NUMBER,social_sciences_journalism_and_information,M,285
2016,NUMBER,business_administration_and_the_law_of_everything,M,263
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,52
2016,NUMBER,information_and_communication_technologies,M,77
2016,NUMBER,engineering_manufacturing_and_construction,M,317
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,95
2016,NUMBER,health_and_social_protection,M,66
2016,NUMBER,services,M,121
2016,NUMBER,unknown,M,601
2016,NUMBER,total,F,2339
2016,NUMBER,education,F,276
2016,NUMBER,arts_and_humanities,F,244
2016,NUMBER,social_sciences_journalism_and_information,F,421
2016,NUMBER,business_administration_and_the_law_of_everything,F,484
2016,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,148
2016,NUMBER,information_and_communication_technologies,F,50
2016,NUMBER,engineering_manufacturing_and_construction,F,227
2016,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,115
2016,NUMBER,health_and_social_protection,F,260
2016,NUMBER,services,F,92
2016,NUMBER,unknown,F,22
2017,NUMBER,total,_T,3712
2017,NUMBER,education,_T,477
2017,NUMBER,arts_and_humanities,_T,344
2017,NUMBER,social_sciences_journalism_and_information,_T,388
2017,NUMBER,business_administration_and_the_law_of_everything,_T,770
2017,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,242
2017,NUMBER,information_and_communication_technologies,_T,119
2017,NUMBER,engineering_manufacturing_and_construction,_T,519
2017,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,214
2017,NUMBER,health_and_social_protection,_T,297
2017,NUMBER,services,_T,274
2017,NUMBER,unknown,_T,68
2017,NUMBER,total,M,1426
2017,NUMBER,education,M,119
2017,NUMBER,arts_and_humanities,M,100
2017,NUMBER,social_sciences_journalism_and_information,M,149
2017,NUMBER,business_administration_and_the_law_of_everything,M,284
2017,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,57
