Year,UNIT_MEASURE,Врста образовања,Пол,Value
2014,Број,Укупно,Оба пола,11333
2014,Број,Образовање,Оба пола,1199
2014,Број,Умјетност и хуманистичке науке,Оба пола,1393
2014,Број,"Друштвене науке, новинарство и информисање",Оба пола,2491
2014,Број,"Пословање, администрација, и право",Оба пола,1674
2014,Број,"Природне науке, математика, и статистика",Оба пола,593
2014,Број,Информационе и комуникационе технологије,Оба пола,286
2014,Број,"Инжењерство, производња и грађевинарство",Оба пола,1516
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,539
2014,Број,Здравство и социјална заштита,Оба пола,961
2014,Број,Услуге,Оба пола,586
2014,Број,Непознато,Оба пола,95
2014,Број,Укупно,M,4494
2014,Број,Образовање,M,313
2014,Број,Умјетност и хуманистичке науке,M,470
2014,Број,"Друштвене науке, новинарство и информисање",M,968
2014,Број,"Пословање, администрација, и право",M,625
2014,Број,"Природне науке, математика, и статистика",M,175
2014,Број,Информационе и комуникационе технологије,M,176
2014,Број,"Инжењерство, производња и грађевинарство",M,965
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,248
2014,Број,Здравство и социјална заштита,M,189
2014,Број,Услуге,M,334
2014,Број,Непознато,M,31
2014,Број,Укупно,Ж,6839
2014,Број,Образовање,Ж,886
2014,Број,Умјетност и хуманистичке науке,Ж,923
2014,Број,"Друштвене науке, новинарство и информисање",Ж,1523
2014,Број,"Пословање, администрација, и право",Ж,1049
2014,Број,"Природне науке, математика, и статистика",Ж,418
2014,Број,Информационе и комуникационе технологије,Ж,110
2014,Број,"Инжењерство, производња и грађевинарство",Ж,551
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,291
2014,Број,Здравство и социјална заштита,Ж,772
2014,Број,Услуге,Ж,252
2014,Број,Непознато,Ж,64
2015,Број,Укупно,Оба пола,12062
2015,Број,Образовање,Оба пола,910
2015,Број,Умјетност и хуманистичке науке,Оба пола,1407
2015,Број,"Друштвене науке, новинарство и информисање",Оба пола,2674
2015,Број,"Пословање, администрација, и право",Оба пола,2158
2015,Број,"Природне науке, математика, и статистика",Оба пола,659
2015,Број,Информационе и комуникационе технологије,Оба пола,332
2015,Број,"Инжењерство, производња и грађевинарство",Оба пола,1827
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,585
2015,Број,Здравство и социјална заштита,Оба пола,905
2015,Број,Услуге,Оба пола,574
2015,Број,Непознато,Оба пола,31
2015,Број,Укупно,M,4717
2015,Број,Образовање,M,245
2015,Број,Умјетност и хуманистичке науке,M,438
2015,Број,"Друштвене науке, новинарство и информисање",M,1031
2015,Број,"Пословање, администрација, и право",M,723
2015,Број,"Природне науке, математика, и статистика",M,182
2015,Број,Информационе и комуникационе технологије,M,224
2015,Број,"Инжењерство, производња и грађевинарство",M,1128
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,257
2015,Број,Здравство и социјална заштита,M,172
2015,Број,Услуге,M,308
2015,Број,Непознато,M,9
2015,Број,Укупно,Ж,7345
2015,Број,Образовање,Ж,665
2015,Број,Умјетност и хуманистичке науке,Ж,969
2015,Број,"Друштвене науке, новинарство и информисање",Ж,1643
2015,Број,"Пословање, администрација, и право",Ж,1435
2015,Број,"Природне науке, математика, и статистика",Ж,477
2015,Број,Информационе и комуникационе технологије,Ж,108
2015,Број,"Инжењерство, производња и грађевинарство",Ж,699
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,328
2015,Број,Здравство и социјална заштита,Ж,733
2015,Број,Услуге,Ж,266
2015,Број,Непознато,Ж,22
2016,Број,Укупно,Оба пола,11604
2016,Број,Образовање,Оба пола,900
2016,Број,Умјетност и хуманистичке науке,Оба пола,1399
2016,Број,"Друштвене науке, новинарство и информисање",Оба пола,1839
2016,Број,"Пословање, администрација, и право",Оба пола,2676
2016,Број,"Природне науке, математика, и статистика",Оба пола,724
2016,Број,Информационе и комуникационе технологије,Оба пола,510
2016,Број,"Инжењерство, производња и грађевинарство",Оба пола,1626
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,566
2016,Број,Здравство и социјална заштита,Оба пола,859
2016,Број,Услуге,Оба пола,454
2016,Број,Непознато,Оба пола,51
2016,Број,Укупно,M,4655
2016,Број,Образовање,M,275
2016,Број,Умјетност и хуманистичке науке,M,448
2016,Број,"Друштвене науке, новинарство и информисање",M,704
2016,Број,"Пословање, администрација, и право",M,971
2016,Број,"Природне науке, математика, и статистика",M,215
2016,Број,Информационе и комуникационе технологије,M,351
2016,Број,"Инжењерство, производња и грађевинарство",M,978
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,267
2016,Број,Здравство и социјална заштита,M,204
2016,Број,Услуге,M,218
2016,Број,Непознато,M,24
2016,Број,Укупно,Ж,6949
2016,Број,Образовање,Ж,625
2016,Број,Умјетност и хуманистичке науке,Ж,951
2016,Број,"Друштвене науке, новинарство и информисање",Ж,1135
2016,Број,"Пословање, администрација, и право",Ж,1705
2016,Број,"Природне науке, математика, и статистика",Ж,509
2016,Број,Информационе и комуникационе технологије,Ж,159
2016,Број,"Инжењерство, производња и грађевинарство",Ж,648
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,299
2016,Број,Здравство и социјална заштита,Ж,655
2016,Број,Услуге,Ж,236
2016,Број,Непознато,Ж,27
2017,Број,Укупно,Оба пола,11360
2017,Број,Образовање,Оба пола,838
2017,Број,Умјетност и хуманистичке науке,Оба пола,1336
2017,Број,"Друштвене науке, новинарство и информисање",Оба пола,1767
