Year,UNIT_MEASURE,Врста школе,Пол,Value
2011,Број,Оба пола,Оба пола,35349
2012,Број,Оба пола,Оба пола,34791
2013,Број,Оба пола,Оба пола,40630
2014,Број,Оба пола,Оба пола,43991
2015,Број,Оба пола,Оба пола,43318
2016,Број,Оба пола,Оба пола,35897
2017,Број,Оба пола,Оба пола,31761
2018,Број,Оба пола,Оба пола,32963
2019,Број,Оба пола,Оба пола,32540
2020,Број,Оба пола,Оба пола,31140
2011,Број,Гимназија,Оба пола,8863
2012,Број,Гимназија,Оба пола,8101
2013,Број,Гимназија,Оба пола,9732
2014,Број,Гимназија,Оба пола,10855
2015,Број,Гимназија,Оба пола,11920
2016,Број,Гимназија,Оба пола,9210
2017,Број,Гимназија,Оба пола,7893
2018,Број,Гимназија,Оба пола,7799
2019,Број,Гимназија,Оба пола,7462
2020,Број,Гимназија,Оба пола,7010
2011,Број,Техничке школе,Оба пола,17510
2012,Број,Техничке школе,Оба пола,16553
2013,Број,Техничке школе,Оба пола,19679
2014,Број,Техничке школе,Оба пола,21299
2015,Број,Техничке школе,Оба пола,21426
2016,Број,Техничке школе,Оба пола,18617
2017,Број,Техничке школе,Оба пола,15815
2018,Број,Техничке школе,Оба пола,16988
2019,Број,Техничке школе,Оба пола,17092
2020,Број,Техничке школе,Оба пола,16116
2011,Број,Умјетничке школе,Оба пола,276
2012,Број,Умјетничке школе,Оба пола,293
2013,Број,Умјетничке школе,Оба пола,316
2014,Број,Умјетничке школе,Оба пола,318
2015,Број,Умјетничке школе,Оба пола,357
2016,Број,Умјетничке школе,Оба пола,288
2017,Број,Умјетничке школе,Оба пола,214
2018,Број,Умјетничке школе,Оба пола,302
2019,Број,Умјетничке школе,Оба пола,281
2020,Број,Умјетничке школе,Оба пола,241
2011,Број,Вјерске школе,Оба пола,447
2012,Број,Вјерске школе,Оба пола,356
2013,Број,Вјерске школе,Оба пола,460
2014,Број,Вјерске школе,Оба пола,517
2015,Број,Вјерске школе,Оба пола,602
2016,Број,Вјерске школе,Оба пола,503
2017,Број,Вјерске школе,Оба пола,476
2018,Број,Вјерске школе,Оба пола,530
2019,Број,Вјерске школе,Оба пола,553
2020,Број,Вјерске школе,Оба пола,518
2011,Број,Стручне школ,Оба пола,8154
2012,Број,Стручне школ,Оба пола,9386
2013,Број,Стручне школ,Оба пола,10331
2014,Број,Стручне школ,Оба пола,10806
2015,Број,Стручне школ,Оба пола,8890
2016,Број,Стручне школ,Оба пола,7161
