Year,UNIT_MEASURE,Type of education,Sex,Value
2014,Number,Total,Both sexes,3366
2014,Number,Education,Both sexes,432
2014,Number,Arts and humanities,Both sexes,296
2014,Number,"Social sciences, journalism and information",Both sexes,635
2014,Number,Business administration and the law,Both sexes,538
2014,Number,"Natural sciences, mathematics and statistics",Both sexes,132
2014,Number,Information and communication technologies,Both sexes,126
2014,Number,"Engineering, manufacturing and construction",Both sexes,505
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,205
2014,Number,Health and social protection,Both sexes,337
2014,Number,Services,Both sexes,114
2014,Number,Unknown,Both sexes,46
2014,Number,Total,M,1330
2014,Number,Education,M,125
2014,Number,Arts and humanities,M,73
2014,Number,"Social sciences, journalism and information",M,261
2014,Number,Business administration and the law,M,200
2014,Number,"Natural sciences, mathematics and statistics",M,58
2014,Number,Information and communication technologies,M,72
2014,Number,"Engineering, manufacturing and construction",M,289
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,85
2014,Number,Health and social protection,M,83
2014,Number,Services,M,71
2014,Number,Unknown,M,13
2014,Number,Total,F,2036
2014,Number,Education,F,307
2014,Number,Arts and humanities,F,223
2014,Number,"Social sciences, journalism and information",F,374
2014,Number,Business administration and the law,F,338
2014,Number,"Natural sciences, mathematics and statistics",F,74
2014,Number,Information and communication technologies,F,54
2014,Number,"Engineering, manufacturing and construction",F,216
2014,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,120
2014,Number,Health and social protection,F,254
2014,Number,Services,F,43
2014,Number,Unknown,F,33
2015,Number,Total,Both sexes,3636
2015,Number,Education,Both sexes,388
2015,Number,Arts and humanities,Both sexes,338
2015,Number,"Social sciences, journalism and information",Both sexes,397
2015,Number,Business administration and the law,Both sexes,658
2015,Number,"Natural sciences, mathematics and statistics",Both sexes,294
2015,Number,Information and communication technologies,Both sexes,99
2015,Number,"Engineering, manufacturing and construction",Both sexes,572
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,212
2015,Number,Health and social protection,Both sexes,422
2015,Number,Services,Both sexes,189
2015,Number,Unknown,Both sexes,67
2015,Number,Total,M,1468
2015,Number,Education,M,88
2015,Number,Arts and humanities,M,102
2015,Number,"Social sciences, journalism and information",M,172
2015,Number,Business administration and the law,M,244
2015,Number,"Natural sciences, mathematics and statistics",M,83
2015,Number,Information and communication technologies,M,67
2015,Number,"Engineering, manufacturing and construction",M,357
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,95
2015,Number,Health and social protection,M,105
2015,Number,Services,M,113
2015,Number,Unknown,M,42
2015,Number,Total,F,2168
2015,Number,Education,F,300
2015,Number,Arts and humanities,F,236
2015,Number,"Social sciences, journalism and information",F,225
2015,Number,Business administration and the law,F,414
2015,Number,"Natural sciences, mathematics and statistics",F,211
2015,Number,Information and communication technologies,F,32
2015,Number,"Engineering, manufacturing and construction",F,215
2015,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,117
2015,Number,Health and social protection,F,317
2015,Number,Services,F,76
2015,Number,Unknown,F,25
2016,Number,Total,Both sexes,3836
2016,Number,Education,Both sexes,391
2016,Number,Arts and humanities,Both sexes,342
2016,Number,"Social sciences, journalism and information",Both sexes,706
2016,Number,Business administration and the law,Both sexes,747
2016,Number,"Natural sciences, mathematics and statistics",Both sexes,200
2016,Number,Information and communication technologies,Both sexes,127
2016,Number,"Engineering, manufacturing and construction",Both sexes,544
2016,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,210
2016,Number,Health and social protection,Both sexes,326
2016,Number,Services,Both sexes,213
2016,Number,Unknown,Both sexes,30
2016,Number,Total,M,1497
2016,Number,Education,M,115
2016,Number,Arts and humanities,M,98
2016,Number,"Social sciences, journalism and information",M,285
2016,Number,Business administration and the law,M,263
2016,Number,"Natural sciences, mathematics and statistics",M,52
2016,Number,Information and communication technologies,M,77
