Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2014,Broj,Ukupno,Oba spola,717
2014,Broj,Obrazovanje,Oba spola,55
2014,Broj,Umjetnost i humanističke nauke,Oba spola,100
2014,Broj,"Društvene nauke, novinarstvo i informiranje",Oba spola,79
2014,Broj,"Poslovanje, administracija i pravo",Oba spola,203
2014,Broj,"Prirodne nauke, matematika i statistika",Oba spola,64
2014,Broj,Informacijske i komunikacijske tehnologije,Oba spola,30
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,31
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,23
2014,Broj,Zdravstvo i socijalna zaštita,Oba spola,85
2014,Broj,Usluge,Oba spola,39
2014,Broj,Nepoznato,Oba spola,8
2014,Broj,Ukupno,M,396
2014,Broj,Obrazovanje,M,23
2014,Broj,Umjetnost i humanističke nauke,M,52
2014,Broj,"Društvene nauke, novinarstvo i informiranje",M,51
2014,Broj,"Poslovanje, administracija i pravo",M,133
2014,Broj,"Prirodne nauke, matematika i statistika",M,30
2014,Broj,Informacijske i komunikacijske tehnologije,M,24
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,23
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,13
2014,Broj,Zdravstvo i socijalna zaštita,M,24
2014,Broj,Usluge,M,23
2014,Broj,Nepoznato,M,0
2014,Broj,Ukupno,Ž,321
2014,Broj,Obrazovanje,Ž,32
2014,Broj,Umjetnost i humanističke nauke,Ž,48
2014,Broj,"Društvene nauke, novinarstvo i informiranje",Ž,28
2014,Broj,"Poslovanje, administracija i pravo",Ž,70
2014,Broj,"Prirodne nauke, matematika i statistika",Ž,34
2014,Broj,Informacijske i komunikacijske tehnologije,Ž,6
2014,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,8
2014,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,10
2014,Broj,Zdravstvo i socijalna zaštita,Ž,61
2014,Broj,Usluge,Ž,16
2014,Broj,Nepoznato,Ž,8
2015,Broj,Ukupno,Oba spola,846
2015,Broj,Obrazovanje,Oba spola,99
2015,Broj,Umjetnost i humanističke nauke,Oba spola,101
2015,Broj,"Društvene nauke, novinarstvo i informiranje",Oba spola,109
2015,Broj,"Poslovanje, administracija i pravo",Oba spola,167
2015,Broj,"Prirodne nauke, matematika i statistika",Oba spola,98
2015,Broj,Informacijske i komunikacijske tehnologije,Oba spola,52
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,118
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,28
2015,Broj,Zdravstvo i socijalna zaštita,Oba spola,29
2015,Broj,Usluge,Oba spola,45
2015,Broj,Nepoznato,Oba spola,61
2015,Broj,Ukupno,M,491
2015,Broj,Obrazovanje,M,51
2015,Broj,Umjetnost i humanističke nauke,M,50
2015,Broj,"Društvene nauke, novinarstvo i informiranje",M,65
2015,Broj,"Poslovanje, administracija i pravo",M,110
2015,Broj,"Prirodne nauke, matematika i statistika",M,33
2015,Broj,Informacijske i komunikacijske tehnologije,M,36
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,95
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,16
2015,Broj,Zdravstvo i socijalna zaštita,M,9
2015,Broj,Usluge,M,26
2015,Broj,Nepoznato,M,23
2015,Broj,Ukupno,Ž,355
2015,Broj,Obrazovanje,Ž,48
2015,Broj,Umjetnost i humanističke nauke,Ž,51
2015,Broj,"Društvene nauke, novinarstvo i informiranje",Ž,44
2015,Broj,"Poslovanje, administracija i pravo",Ž,57
2015,Broj,"Prirodne nauke, matematika i statistika",Ž,65
2015,Broj,Informacijske i komunikacijske tehnologije,Ž,16
2015,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,23
2015,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,12
2015,Broj,Zdravstvo i socijalna zaštita,Ž,20
2015,Broj,Usluge,Ž,19
2015,Broj,Nepoznato,Ž,0
2016,Broj,Ukupno,Oba spola,913
2016,Broj,Obrazovanje,Oba spola,71
2016,Broj,Umjetnost i humanističke nauke,Oba spola,105
2016,Broj,"Društvene nauke, novinarstvo i informiranje",Oba spola,98
2016,Broj,"Poslovanje, administracija i pravo",Oba spola,224
2016,Broj,"Prirodne nauke, matematika i statistika",Oba spola,78
2016,Broj,Informacijske i komunikacijske tehnologije,Oba spola,18
2016,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,123
2016,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,28
2016,Broj,Zdravstvo i socijalna zaštita,Oba spola,121
2016,Broj,Usluge,Oba spola,47
2016,Broj,Nepoznato,Oba spola,0
2016,Broj,Ukupno,M,486
2016,Broj,Obrazovanje,M,38
2016,Broj,Umjetnost i humanističke nauke,M,35
2016,Broj,"Društvene nauke, novinarstvo i informiranje",M,53
2016,Broj,"Poslovanje, administracija i pravo",M,143
2016,Broj,"Prirodne nauke, matematika i statistika",M,31
2016,Broj,Informacijske i komunikacijske tehnologije,M,9
2016,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,81
2016,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,12
2016,Broj,Zdravstvo i socijalna zaštita,M,44
2016,Broj,Usluge,M,40
2016,Broj,Nepoznato,M,0
2016,Broj,Ukupno,Ž,427
2016,Broj,Obrazovanje,Ž,33
2016,Broj,Umjetnost i humanističke nauke,Ž,70
2016,Broj,"Društvene nauke, novinarstvo i informiranje",Ž,45
2016,Broj,"Poslovanje, administracija i pravo",Ž,81
2016,Broj,"Prirodne nauke, matematika i statistika",Ž,47
2016,Broj,Informacijske i komunikacijske tehnologije,Ž,9
2016,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,42
2016,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,16
2016,Broj,Zdravstvo i socijalna zaštita,Ž,77
2016,Broj,Usluge,Ž,7
2016,Broj,Nepoznato,Ž,0
2017,Broj,Ukupno,Oba spola,856
2017,Broj,Obrazovanje,Oba spola,43
2017,Broj,Umjetnost i humanističke nauke,Oba spola,171
2017,Broj,"Društvene nauke, novinarstvo i informiranje",Oba spola,66
2017,Broj,"Poslovanje, administracija i pravo",Oba spola,191
2017,Broj,"Prirodne nauke, matematika i statistika",Oba spola,79
2017,Broj,Informacijske i komunikacijske tehnologije,Oba spola,44
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba spola,110
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba spola,30
2017,Broj,Zdravstvo i socijalna zaštita,Oba spola,72
2017,Broj,Usluge,Oba spola,50
2017,Broj,Nepoznato,Oba spola,0
2017,Broj,Ukupno,M,482
2017,Broj,Obrazovanje,M,34
2017,Broj,Umjetnost i humanističke nauke,M,81
2017,Broj,"Društvene nauke, novinarstvo i informiranje",M,38
2017,Broj,"Poslovanje, administracija i pravo",M,117
2017,Broj,"Prirodne nauke, matematika i statistika",M,31
2017,Broj,Informacijske i komunikacijske tehnologije,M,33
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,74
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,8
2017,Broj,Zdravstvo i socijalna zaštita,M,26
2017,Broj,Usluge,M,40
2017,Broj,Nepoznato,M,0
2017,Broj,Ukupno,Ž,374
2017,Broj,Obrazovanje,Ž,9
2017,Broj,Umjetnost i humanističke nauke,Ž,90
2017,Broj,"Društvene nauke, novinarstvo i informiranje",Ž,28
2017,Broj,"Poslovanje, administracija i pravo",Ž,74
2017,Broj,"Prirodne nauke, matematika i statistika",Ž,48
2017,Broj,Informacijske i komunikacijske tehnologije,Ž,11
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,36
